,material,compatibility,chemical
0,,,Sodium Bicarbonate
1,ABS plastic,A - Excellent,Sodium Bicarbonate
2,Acetal (Delrin®),A - Excellent,Sodium Bicarbonate
3,Aluminum,D - Poor,Sodium Bicarbonate
4,Brass,D - Poor,Sodium Bicarbonate
5,Bronze,A - Excellent,Sodium Bicarbonate
6,Buna N (Nitrile),A1 - Excellent,Sodium Bicarbonate
7,Carbon graphite,A - Excellent,Sodium Bicarbonate
8,Carbon Steel,C - Fair,Sodium Bicarbonate
9,Carpenter 20,A - Excellent,Sodium Bicarbonate
10,Cast iron,C - Fair,Sodium Bicarbonate
11,Ceramic Al203,A - Excellent,Sodium Bicarbonate
12,Ceramic magnet,A - Excellent,Sodium Bicarbonate
13,ChemRaz (FFKM),A - Excellent,Sodium Bicarbonate
14,Copper,B - Good,Sodium Bicarbonate
15,CPVC,A2 - Excellent,Sodium Bicarbonate
16,EPDM,A2 - Excellent,Sodium Bicarbonate
17,Epoxy,A - Excellent,Sodium Bicarbonate
18,Fluorocarbon (FKM),A - Excellent,Sodium Bicarbonate
19,Hastelloy-C®,B1 - Good,Sodium Bicarbonate
20,Hypalon®,A - Excellent,Sodium Bicarbonate
21,Hytrel®,N/A,Sodium Bicarbonate
22,Kalrez,A - Excellent,Sodium Bicarbonate
23,Kel-F®,A - Excellent,Sodium Bicarbonate
24,LDPE,A2 - Excellent,Sodium Bicarbonate
25,Natural rubber,A - Excellent,Sodium Bicarbonate
26,Neoprene,A - Excellent,Sodium Bicarbonate
27,NORYL®,A - Excellent,Sodium Bicarbonate
28,Nylon,A - Excellent,Sodium Bicarbonate
29,Polycarbonate,A2 - Excellent,Sodium Bicarbonate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Bicarbonate
31,Polypropylene,A - Excellent,Sodium Bicarbonate
32,Polyurethane,A - Excellent,Sodium Bicarbonate
33,PPS (Ryton®),A - Excellent,Sodium Bicarbonate
34,PTFE,A - Excellent,Sodium Bicarbonate
35,PVC,A2 - Excellent,Sodium Bicarbonate
36,PVDF (Kynar®),A - Excellent,Sodium Bicarbonate
37,Silicone,A - Excellent,Sodium Bicarbonate
38,stainless steel - 304,A - Excellent,Sodium Bicarbonate
39,stainless steel - 316,A1 - Excellent,Sodium Bicarbonate
40,Titanium,A2 - Excellent,Sodium Bicarbonate
41,Tygon®,B - Good,Sodium Bicarbonate
42,Viton®,A - Excellent,Sodium Bicarbonate
