,material,compatibility,chemical
0,,,Sodium Bisulfate
1,ABS plastic,A - Excellent,Sodium Bisulfate
2,Acetal (Delrin®),B - Good,Sodium Bisulfate
3,Aluminum,D - Poor,Sodium Bisulfate
4,Brass,D - Poor,Sodium Bisulfate
5,Bronze,A2 - Excellent,Sodium Bisulfate
6,Buna N (Nitrile),B2 - Good,Sodium Bisulfate
7,Carbon graphite,A - Excellent,Sodium Bisulfate
8,Carbon Steel,C - Fair,Sodium Bisulfate
9,Carpenter 20,C - Fair,Sodium Bisulfate
10,Cast iron,D - Poor,Sodium Bisulfate
11,Ceramic Al203,A - Excellent,Sodium Bisulfate
12,Ceramic magnet,N/A,Sodium Bisulfate
13,ChemRaz (FFKM),A - Excellent,Sodium Bisulfate
14,Copper,B - Good,Sodium Bisulfate
15,CPVC,A2 - Excellent,Sodium Bisulfate
16,EPDM,A2 - Excellent,Sodium Bisulfate
17,Epoxy,A - Excellent,Sodium Bisulfate
18,Fluorocarbon (FKM),A - Excellent,Sodium Bisulfate
19,Hastelloy-C®,B2 - Good,Sodium Bisulfate
20,Hypalon®,A - Excellent,Sodium Bisulfate
21,Hytrel®,C - Fair,Sodium Bisulfate
22,Kalrez,A - Excellent,Sodium Bisulfate
23,Kel-F®,A2 - Excellent,Sodium Bisulfate
24,LDPE,A2 - Excellent,Sodium Bisulfate
25,Natural rubber,A - Excellent,Sodium Bisulfate
26,Neoprene,A - Excellent,Sodium Bisulfate
27,NORYL®,A1 - Excellent,Sodium Bisulfate
28,Nylon,A1 - Excellent,Sodium Bisulfate
29,Polycarbonate,A1 - Excellent,Sodium Bisulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Bisulfate
31,Polypropylene,A - Excellent,Sodium Bisulfate
32,Polyurethane,A - Excellent,Sodium Bisulfate
33,PPS (Ryton®),A - Excellent,Sodium Bisulfate
34,PTFE,A - Excellent,Sodium Bisulfate
35,PVC,A2 - Excellent,Sodium Bisulfate
36,PVDF (Kynar®),A - Excellent,Sodium Bisulfate
37,Silicone,A - Excellent,Sodium Bisulfate
38,stainless steel - 304,D - Poor,Sodium Bisulfate
39,stainless steel - 316,C - Fair,Sodium Bisulfate
40,Titanium,A - Excellent,Sodium Bisulfate
41,Tygon®,B - Good,Sodium Bisulfate
42,Viton®,A - Excellent,Sodium Bisulfate
