,material,compatibility,chemical
0,,,Sodium Bisulfite
1,ABS plastic,A - Excellent,Sodium Bisulfite
2,Acetal (Delrin®),C - Fair,Sodium Bisulfite
3,Aluminum,D - Poor,Sodium Bisulfite
4,Brass,N/A,Sodium Bisulfite
5,Bronze,B1 - Good,Sodium Bisulfite
6,Buna N (Nitrile),A2 - Excellent,Sodium Bisulfite
7,Carbon graphite,A - Excellent,Sodium Bisulfite
8,Carbon Steel,D - Poor,Sodium Bisulfite
9,Carpenter 20,B - Good,Sodium Bisulfite
10,Cast iron,D - Poor,Sodium Bisulfite
11,Ceramic Al203,A - Excellent,Sodium Bisulfite
12,Ceramic magnet,N/A,Sodium Bisulfite
13,ChemRaz (FFKM),A - Excellent,Sodium Bisulfite
14,Copper,B - Good,Sodium Bisulfite
15,CPVC,A2 - Excellent,Sodium Bisulfite
16,EPDM,A2 - Excellent,Sodium Bisulfite
17,Epoxy,A - Excellent,Sodium Bisulfite
18,Fluorocarbon (FKM),A - Excellent,Sodium Bisulfite
19,Hastelloy-C®,B - Good,Sodium Bisulfite
20,Hypalon®,A - Excellent,Sodium Bisulfite
21,Hytrel®,B - Good,Sodium Bisulfite
22,Kalrez,A - Excellent,Sodium Bisulfite
23,Kel-F®,N/A,Sodium Bisulfite
24,LDPE,A2 - Excellent,Sodium Bisulfite
25,Natural rubber,A - Excellent,Sodium Bisulfite
26,Neoprene,A - Excellent,Sodium Bisulfite
27,NORYL®,A1 - Excellent,Sodium Bisulfite
28,Nylon,C1 - Fair,Sodium Bisulfite
29,Polycarbonate,A1 - Excellent,Sodium Bisulfite
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Bisulfite
31,Polypropylene,A - Excellent,Sodium Bisulfite
32,Polyurethane,A - Excellent,Sodium Bisulfite
33,PPS (Ryton®),A - Excellent,Sodium Bisulfite
34,PTFE,A - Excellent,Sodium Bisulfite
35,PVC,A2 - Excellent,Sodium Bisulfite
36,PVDF (Kynar®),A - Excellent,Sodium Bisulfite
37,Silicone,A - Excellent,Sodium Bisulfite
38,stainless steel - 304,B1 - Good,Sodium Bisulfite
39,stainless steel - 316,B1 - Good,Sodium Bisulfite
40,Titanium,A - Excellent,Sodium Bisulfite
41,Tygon®,B - Good,Sodium Bisulfite
42,Viton®,A - Excellent,Sodium Bisulfite
