,material,compatibility,chemical
0,,,Sodium Bromide
1,ABS plastic,B - Good,Sodium Bromide
2,Acetal (Delrin®),A - Excellent,Sodium Bromide
3,Aluminum,D - Poor,Sodium Bromide
4,Brass,N/A,Sodium Bromide
5,Bronze,A - Excellent,Sodium Bromide
6,Buna N (Nitrile),N/A,Sodium Bromide
7,Carbon graphite,A2 - Excellent,Sodium Bromide
8,Carbon Steel,D - Poor,Sodium Bromide
9,Carpenter 20,B - Good,Sodium Bromide
10,Cast iron,C - Fair,Sodium Bromide
11,Ceramic Al203,N/A,Sodium Bromide
12,Ceramic magnet,N/A,Sodium Bromide
13,ChemRaz (FFKM),N/A,Sodium Bromide
14,Copper,D - Poor,Sodium Bromide
15,CPVC,A2 - Excellent,Sodium Bromide
16,EPDM,A - Excellent,Sodium Bromide
17,Epoxy,A - Excellent,Sodium Bromide
18,Fluorocarbon (FKM),A - Excellent,Sodium Bromide
19,Hastelloy-C®,N/A,Sodium Bromide
20,Hypalon®,B - Good,Sodium Bromide
21,Hytrel®,N/A,Sodium Bromide
22,Kalrez,A - Excellent,Sodium Bromide
23,Kel-F®,A1 - Excellent,Sodium Bromide
24,LDPE,A2 - Excellent,Sodium Bromide
25,Natural rubber,A1 - Excellent,Sodium Bromide
26,Neoprene,A1 - Excellent,Sodium Bromide
27,NORYL®,A2 - Excellent,Sodium Bromide
28,Nylon,B1 - Good,Sodium Bromide
29,Polycarbonate,N/A,Sodium Bromide
30,Polyetherether Ketone (PEEK),N/A,Sodium Bromide
31,Polypropylene,N/A,Sodium Bromide
32,Polyurethane,N/A,Sodium Bromide
33,PPS (Ryton®),N/A,Sodium Bromide
34,PTFE,A2 - Excellent,Sodium Bromide
35,PVC,B2 - Good,Sodium Bromide
36,PVDF (Kynar®),A2 - Excellent,Sodium Bromide
37,Silicone,N/A,Sodium Bromide
38,stainless steel - 304,C - Fair,Sodium Bromide
39,stainless steel - 316,C - Fair,Sodium Bromide
40,Titanium,A1 - Excellent,Sodium Bromide
41,Tygon®,B2 - Good,Sodium Bromide
42,Viton®,A1 - Excellent,Sodium Bromide
