,material,compatibility,chemical
0,,,Sodium Chloride
1,ABS plastic,A - Excellent,Sodium Chloride
2,Acetal (Delrin®),A1 - Excellent,Sodium Chloride
3,Aluminum,C - Fair,Sodium Chloride
4,Brass,D - Poor,Sodium Chloride
5,Bronze,B - Good,Sodium Chloride
6,Buna N (Nitrile),A - Excellent,Sodium Chloride
7,Carbon graphite,A - Excellent,Sodium Chloride
8,Carbon Steel,D - Poor,Sodium Chloride
9,Carpenter 20,B - Good,Sodium Chloride
10,Cast iron,D - Poor,Sodium Chloride
11,Ceramic Al203,A - Excellent,Sodium Chloride
12,Ceramic magnet,A - Excellent,Sodium Chloride
13,ChemRaz (FFKM),A - Excellent,Sodium Chloride
14,Copper,B - Good,Sodium Chloride
15,CPVC,A2 - Excellent,Sodium Chloride
16,EPDM,A - Excellent,Sodium Chloride
17,Epoxy,A - Excellent,Sodium Chloride
18,Fluorocarbon (FKM),A - Excellent,Sodium Chloride
19,Hastelloy-C®,A - Excellent,Sodium Chloride
20,Hypalon®,A - Excellent,Sodium Chloride
21,Hytrel®,A - Excellent,Sodium Chloride
22,Kalrez,A - Excellent,Sodium Chloride
23,Kel-F®,A - Excellent,Sodium Chloride
24,LDPE,A2 - Excellent,Sodium Chloride
25,Natural rubber,A - Excellent,Sodium Chloride
26,Neoprene,A - Excellent,Sodium Chloride
27,NORYL®,A - Excellent,Sodium Chloride
28,Nylon,A1 - Excellent,Sodium Chloride
29,Polycarbonate,A2 - Excellent,Sodium Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Chloride
31,Polypropylene,A - Excellent,Sodium Chloride
32,Polyurethane,A - Excellent,Sodium Chloride
33,PPS (Ryton®),A - Excellent,Sodium Chloride
34,PTFE,A - Excellent,Sodium Chloride
35,PVC,A2 - Excellent,Sodium Chloride
36,PVDF (Kynar®),A - Excellent,Sodium Chloride
37,Silicone,A - Excellent,Sodium Chloride
38,stainless steel - 304,B - Good,Sodium Chloride
39,stainless steel - 316,B - Good,Sodium Chloride
40,Titanium,A - Excellent,Sodium Chloride
41,Tygon®,B - Good,Sodium Chloride
42,Viton®,A - Excellent,Sodium Chloride
