,material,compatibility,chemical
0,,,Sodium Chromate
1,ABS plastic,N/A,Sodium Chromate
2,Acetal (Delrin®),D - Poor,Sodium Chromate
3,Aluminum,B - Good,Sodium Chromate
4,Brass,N/A,Sodium Chromate
5,Bronze,B - Good,Sodium Chromate
6,Buna N (Nitrile),A - Excellent,Sodium Chromate
7,Carbon graphite,A - Excellent,Sodium Chromate
8,Carbon Steel,B - Good,Sodium Chromate
9,Carpenter 20,B - Good,Sodium Chromate
10,Cast iron,A - Excellent,Sodium Chromate
11,Ceramic Al203,N/A,Sodium Chromate
12,Ceramic magnet,N/A,Sodium Chromate
13,ChemRaz (FFKM),N/A,Sodium Chromate
14,Copper,B - Good,Sodium Chromate
15,CPVC,N/A,Sodium Chromate
16,EPDM,N/A,Sodium Chromate
17,Epoxy,C - Fair,Sodium Chromate
18,Fluorocarbon (FKM),A - Excellent,Sodium Chromate
19,Hastelloy-C®,A - Excellent,Sodium Chromate
20,Hypalon®,C - Fair,Sodium Chromate
21,Hytrel®,N/A,Sodium Chromate
22,Kalrez,A - Excellent,Sodium Chromate
23,Kel-F®,A - Excellent,Sodium Chromate
24,LDPE,N/A,Sodium Chromate
25,Natural rubber,B - Good,Sodium Chromate
26,Neoprene,A - Excellent,Sodium Chromate
27,NORYL®,A - Excellent,Sodium Chromate
28,Nylon,C - Fair,Sodium Chromate
29,Polycarbonate,A2 - Excellent,Sodium Chromate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Chromate
31,Polypropylene,N/A,Sodium Chromate
32,Polyurethane,N/A,Sodium Chromate
33,PPS (Ryton®),A - Excellent,Sodium Chromate
34,PTFE,A - Excellent,Sodium Chromate
35,PVC,N/A,Sodium Chromate
36,PVDF (Kynar®),A - Excellent,Sodium Chromate
37,Silicone,N/A,Sodium Chromate
38,stainless steel - 304,B1 - Good,Sodium Chromate
39,stainless steel - 316,B - Good,Sodium Chromate
40,Titanium,N/A,Sodium Chromate
41,Tygon®,N/A,Sodium Chromate
42,Viton®,A - Excellent,Sodium Chromate
