,material,compatibility,chemical
0,,,Sodium Cyanide
1,ABS plastic,A - Excellent,Sodium Cyanide
2,Acetal (Delrin®),A - Excellent,Sodium Cyanide
3,Aluminum,D - Poor,Sodium Cyanide
4,Brass,D - Poor,Sodium Cyanide
5,Bronze,D - Poor,Sodium Cyanide
6,Buna N (Nitrile),A - Excellent,Sodium Cyanide
7,Carbon graphite,A - Excellent,Sodium Cyanide
8,Carbon Steel,B - Good,Sodium Cyanide
9,Carpenter 20,A - Excellent,Sodium Cyanide
10,Cast iron,A - Excellent,Sodium Cyanide
11,Ceramic Al203,A - Excellent,Sodium Cyanide
12,Ceramic magnet,A - Excellent,Sodium Cyanide
13,ChemRaz (FFKM),A - Excellent,Sodium Cyanide
14,Copper,D - Poor,Sodium Cyanide
15,CPVC,A2 - Excellent,Sodium Cyanide
16,EPDM,A2 - Excellent,Sodium Cyanide
17,Epoxy,A - Excellent,Sodium Cyanide
18,Fluorocarbon (FKM),A - Excellent,Sodium Cyanide
19,Hastelloy-C®,A - Excellent,Sodium Cyanide
20,Hypalon®,A - Excellent,Sodium Cyanide
21,Hytrel®,B - Good,Sodium Cyanide
22,Kalrez,A - Excellent,Sodium Cyanide
23,Kel-F®,A - Excellent,Sodium Cyanide
24,LDPE,A2 - Excellent,Sodium Cyanide
25,Natural rubber,A - Excellent,Sodium Cyanide
26,Neoprene,A1 - Excellent,Sodium Cyanide
27,NORYL®,A1 - Excellent,Sodium Cyanide
28,Nylon,A1 - Excellent,Sodium Cyanide
29,Polycarbonate,N/A,Sodium Cyanide
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Cyanide
31,Polypropylene,A - Excellent,Sodium Cyanide
32,Polyurethane,B - Good,Sodium Cyanide
33,PPS (Ryton®),A - Excellent,Sodium Cyanide
34,PTFE,A - Excellent,Sodium Cyanide
35,PVC,A2 - Excellent,Sodium Cyanide
36,PVDF (Kynar®),A - Excellent,Sodium Cyanide
37,Silicone,A - Excellent,Sodium Cyanide
38,stainless steel - 304,A1 - Excellent,Sodium Cyanide
39,stainless steel - 316,B1 - Good,Sodium Cyanide
40,Titanium,A - Excellent,Sodium Cyanide
41,Tygon®,N/A,Sodium Cyanide
42,Viton®,A2 - Excellent,Sodium Cyanide
