,material,compatibility,chemical
0,,,Sodium Ferrocyanide
1,ABS plastic,N/A,Sodium Ferrocyanide
2,Acetal (Delrin®),A - Excellent,Sodium Ferrocyanide
3,Aluminum,A - Excellent,Sodium Ferrocyanide
4,Brass,N/A,Sodium Ferrocyanide
5,Bronze,N/A,Sodium Ferrocyanide
6,Buna N (Nitrile),A - Excellent,Sodium Ferrocyanide
7,Carbon graphite,A - Excellent,Sodium Ferrocyanide
8,Carbon Steel,N/A,Sodium Ferrocyanide
9,Carpenter 20,N/A,Sodium Ferrocyanide
10,Cast iron,N/A,Sodium Ferrocyanide
11,Ceramic Al203,A - Excellent,Sodium Ferrocyanide
12,Ceramic magnet,N/A,Sodium Ferrocyanide
13,ChemRaz (FFKM),A - Excellent,Sodium Ferrocyanide
14,Copper,D - Poor,Sodium Ferrocyanide
15,CPVC,A - Excellent,Sodium Ferrocyanide
16,EPDM,A - Excellent,Sodium Ferrocyanide
17,Epoxy,A - Excellent,Sodium Ferrocyanide
18,Fluorocarbon (FKM),A - Excellent,Sodium Ferrocyanide
19,Hastelloy-C®,A - Excellent,Sodium Ferrocyanide
20,Hypalon®,B - Good,Sodium Ferrocyanide
21,Hytrel®,N/A,Sodium Ferrocyanide
22,Kalrez,A - Excellent,Sodium Ferrocyanide
23,Kel-F®,N/A,Sodium Ferrocyanide
24,LDPE,A - Excellent,Sodium Ferrocyanide
25,Natural rubber,B - Good,Sodium Ferrocyanide
26,Neoprene,A - Excellent,Sodium Ferrocyanide
27,NORYL®,A - Excellent,Sodium Ferrocyanide
28,Nylon,N/A,Sodium Ferrocyanide
29,Polycarbonate,N/A,Sodium Ferrocyanide
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Ferrocyanide
31,Polypropylene,A - Excellent,Sodium Ferrocyanide
32,Polyurethane,B - Good,Sodium Ferrocyanide
33,PPS (Ryton®),N/A,Sodium Ferrocyanide
34,PTFE,A - Excellent,Sodium Ferrocyanide
35,PVC,A - Excellent,Sodium Ferrocyanide
36,PVDF (Kynar®),A - Excellent,Sodium Ferrocyanide
37,Silicone,N/A,Sodium Ferrocyanide
38,stainless steel - 304,B - Good,Sodium Ferrocyanide
39,stainless steel - 316,B - Good,Sodium Ferrocyanide
40,Titanium,N/A,Sodium Ferrocyanide
41,Tygon®,A - Excellent,Sodium Ferrocyanide
42,Viton®,A - Excellent,Sodium Ferrocyanide
