,material,compatibility,chemical
0,,,Sodium Hydrosulfite
1,ABS plastic,N/A,Sodium Hydrosulfite
2,Acetal (Delrin®),N/A,Sodium Hydrosulfite
3,Aluminum,A - Excellent,Sodium Hydrosulfite
4,Brass,N/A,Sodium Hydrosulfite
5,Bronze,N/A,Sodium Hydrosulfite
6,Buna N (Nitrile),C - Fair,Sodium Hydrosulfite
7,Carbon graphite,N/A,Sodium Hydrosulfite
8,Carbon Steel,N/A,Sodium Hydrosulfite
9,Carpenter 20,C - Fair,Sodium Hydrosulfite
10,Cast iron,N/A,Sodium Hydrosulfite
11,Ceramic Al203,N/A,Sodium Hydrosulfite
12,Ceramic magnet,N/A,Sodium Hydrosulfite
13,ChemRaz (FFKM),A - Excellent,Sodium Hydrosulfite
14,Copper,N/A,Sodium Hydrosulfite
15,CPVC,C - Fair,Sodium Hydrosulfite
16,EPDM,B - Good,Sodium Hydrosulfite
17,Epoxy,N/A,Sodium Hydrosulfite
18,Fluorocarbon (FKM),B - Good,Sodium Hydrosulfite
19,Hastelloy-C®,A - Excellent,Sodium Hydrosulfite
20,Hypalon®,B - Good,Sodium Hydrosulfite
21,Hytrel®,N/A,Sodium Hydrosulfite
22,Kalrez,A - Excellent,Sodium Hydrosulfite
23,Kel-F®,N/A,Sodium Hydrosulfite
24,LDPE,N/A,Sodium Hydrosulfite
25,Natural rubber,C - Fair,Sodium Hydrosulfite
26,Neoprene,B - Good,Sodium Hydrosulfite
27,NORYL®,N/A,Sodium Hydrosulfite
28,Nylon,A - Excellent,Sodium Hydrosulfite
29,Polycarbonate,N/A,Sodium Hydrosulfite
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Hydrosulfite
31,Polypropylene,N/A,Sodium Hydrosulfite
32,Polyurethane,B - Good,Sodium Hydrosulfite
33,PPS (Ryton®),N/A,Sodium Hydrosulfite
34,PTFE,A - Excellent,Sodium Hydrosulfite
35,PVC,C - Fair,Sodium Hydrosulfite
36,PVDF (Kynar®),N/A,Sodium Hydrosulfite
37,Silicone,C - Fair,Sodium Hydrosulfite
38,stainless steel - 304,N/A,Sodium Hydrosulfite
39,stainless steel - 316,N/A,Sodium Hydrosulfite
40,Titanium,N/A,Sodium Hydrosulfite
41,Tygon®,A - Excellent,Sodium Hydrosulfite
42,Viton®,A - Excellent,Sodium Hydrosulfite
