,material,compatibility,chemical
0,,,Sodium Hydroxide (80%)
1,ABS plastic,A - Excellent,Sodium Hydroxide (80%)
2,Acetal (Delrin®),D - Poor,Sodium Hydroxide (80%)
3,Aluminum,D - Poor,Sodium Hydroxide (80%)
4,Brass,D - Poor,Sodium Hydroxide (80%)
5,Bronze,C - Fair,Sodium Hydroxide (80%)
6,Buna N (Nitrile),D - Poor,Sodium Hydroxide (80%)
7,Carbon graphite,A2 - Excellent,Sodium Hydroxide (80%)
8,Carbon Steel,D - Poor,Sodium Hydroxide (80%)
9,Carpenter 20,D - Poor,Sodium Hydroxide (80%)
10,Cast iron,D - Poor,Sodium Hydroxide (80%)
11,Ceramic Al203,A - Excellent,Sodium Hydroxide (80%)
12,Ceramic magnet,C - Fair,Sodium Hydroxide (80%)
13,ChemRaz (FFKM),C - Fair,Sodium Hydroxide (80%)
14,Copper,D - Poor,Sodium Hydroxide (80%)
15,CPVC,A - Excellent,Sodium Hydroxide (80%)
16,EPDM,B1 - Good,Sodium Hydroxide (80%)
17,Epoxy,A1 - Excellent,Sodium Hydroxide (80%)
18,Fluorocarbon (FKM),D - Poor,Sodium Hydroxide (80%)
19,Hastelloy-C®,A1 - Excellent,Sodium Hydroxide (80%)
20,Hypalon®,A2 - Excellent,Sodium Hydroxide (80%)
21,Hytrel®,N/A,Sodium Hydroxide (80%)
22,Kalrez,A - Excellent,Sodium Hydroxide (80%)
23,Kel-F®,A - Excellent,Sodium Hydroxide (80%)
24,LDPE,D - Poor,Sodium Hydroxide (80%)
25,Natural rubber,A1 - Excellent,Sodium Hydroxide (80%)
26,Neoprene,B1 - Good,Sodium Hydroxide (80%)
27,NORYL®,A - Excellent,Sodium Hydroxide (80%)
28,Nylon,C - Fair,Sodium Hydroxide (80%)
29,Polycarbonate,D - Poor,Sodium Hydroxide (80%)
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Hydroxide (80%)
31,Polypropylene,A - Excellent,Sodium Hydroxide (80%)
32,Polyurethane,B - Good,Sodium Hydroxide (80%)
33,PPS (Ryton®),A - Excellent,Sodium Hydroxide (80%)
34,PTFE,A1 - Excellent,Sodium Hydroxide (80%)
35,PVC,A - Excellent,Sodium Hydroxide (80%)
36,PVDF (Kynar®),A - Excellent,Sodium Hydroxide (80%)
37,Silicone,A1 - Excellent,Sodium Hydroxide (80%)
38,stainless steel - 304,C - Fair,Sodium Hydroxide (80%)
39,stainless steel - 316,B1 - Good,Sodium Hydroxide (80%)
40,Titanium,D - Poor,Sodium Hydroxide (80%)
41,Tygon®,A1 - Excellent,Sodium Hydroxide (80%)
42,Viton®,D - Poor,Sodium Hydroxide (80%)
