,material,compatibility,chemical
0,,,Sodium Hypochlorite (<20%)
1,ABS plastic,B - Good,Sodium Hypochlorite (<20%)
2,Acetal (Delrin®),D - Poor,Sodium Hypochlorite (<20%)
3,Aluminum,D - Poor,Sodium Hypochlorite (<20%)
4,Brass,D - Poor,Sodium Hypochlorite (<20%)
5,Bronze,C - Fair,Sodium Hypochlorite (<20%)
6,Buna N (Nitrile),B - Good,Sodium Hypochlorite (<20%)
7,Carbon graphite,B - Good,Sodium Hypochlorite (<20%)
8,Carbon Steel,D - Poor,Sodium Hypochlorite (<20%)
9,Carpenter 20,D - Poor,Sodium Hypochlorite (<20%)
10,Cast iron,D - Poor,Sodium Hypochlorite (<20%)
11,Ceramic Al203,A - Excellent,Sodium Hypochlorite (<20%)
12,Ceramic magnet,A - Excellent,Sodium Hypochlorite (<20%)
13,ChemRaz (FFKM),N/A,Sodium Hypochlorite (<20%)
14,Copper,N/A,Sodium Hypochlorite (<20%)
15,CPVC,A - Excellent,Sodium Hypochlorite (<20%)
16,EPDM,B - Good,Sodium Hypochlorite (<20%)
17,Epoxy,C - Fair,Sodium Hypochlorite (<20%)
18,Fluorocarbon (FKM),A - Excellent,Sodium Hypochlorite (<20%)
19,Hastelloy-C®,A - Excellent,Sodium Hypochlorite (<20%)
20,Hypalon®,A - Excellent,Sodium Hypochlorite (<20%)
21,Hytrel®,A - Excellent,Sodium Hypochlorite (<20%)
22,Kalrez,A - Excellent,Sodium Hypochlorite (<20%)
23,Kel-F®,A - Excellent,Sodium Hypochlorite (<20%)
24,LDPE,A - Excellent,Sodium Hypochlorite (<20%)
25,Natural rubber,C - Fair,Sodium Hypochlorite (<20%)
26,Neoprene,C - Fair,Sodium Hypochlorite (<20%)
27,NORYL®,A - Excellent,Sodium Hypochlorite (<20%)
28,Nylon,D - Poor,Sodium Hypochlorite (<20%)
29,Polycarbonate,C - Fair,Sodium Hypochlorite (<20%)
30,Polyetherether Ketone (PEEK),B - Good,Sodium Hypochlorite (<20%)
31,Polypropylene,A - Excellent,Sodium Hypochlorite (<20%)
32,Polyurethane,D - Poor,Sodium Hypochlorite (<20%)
33,PPS (Ryton®),A - Excellent,Sodium Hypochlorite (<20%)
34,PTFE,A - Excellent,Sodium Hypochlorite (<20%)
35,PVC,A - Excellent,Sodium Hypochlorite (<20%)
36,PVDF (Kynar®),A - Excellent,Sodium Hypochlorite (<20%)
37,Silicone,B - Good,Sodium Hypochlorite (<20%)
38,stainless steel - 304,C - Fair,Sodium Hypochlorite (<20%)
39,stainless steel - 316,C - Fair,Sodium Hypochlorite (<20%)
40,Titanium,C - Fair,Sodium Hypochlorite (<20%)
41,Tygon®,C - Fair,Sodium Hypochlorite (<20%)
42,Viton®,A1 - Excellent,Sodium Hypochlorite (<20%)
