,material,compatibility,chemical
0,,,Sodium Hypochlorite (100%)
1,ABS plastic,N/A,Sodium Hypochlorite (100%)
2,Acetal (Delrin®),D - Poor,Sodium Hypochlorite (100%)
3,Aluminum,D - Poor,Sodium Hypochlorite (100%)
4,Brass,D - Poor,Sodium Hypochlorite (100%)
5,Bronze,C - Fair,Sodium Hypochlorite (100%)
6,Buna N (Nitrile),D - Poor,Sodium Hypochlorite (100%)
7,Carbon graphite,C - Fair,Sodium Hypochlorite (100%)
8,Carbon Steel,D - Poor,Sodium Hypochlorite (100%)
9,Carpenter 20,D - Poor,Sodium Hypochlorite (100%)
10,Cast iron,D - Poor,Sodium Hypochlorite (100%)
11,Ceramic Al203,A - Excellent,Sodium Hypochlorite (100%)
12,Ceramic magnet,A - Excellent,Sodium Hypochlorite (100%)
13,ChemRaz (FFKM),A - Excellent,Sodium Hypochlorite (100%)
14,Copper,N/A,Sodium Hypochlorite (100%)
15,CPVC,C2 - Fair,Sodium Hypochlorite (100%)
16,EPDM,B1 - Good,Sodium Hypochlorite (100%)
17,Epoxy,D - Poor,Sodium Hypochlorite (100%)
18,Fluorocarbon (FKM),A - Excellent,Sodium Hypochlorite (100%)
19,Hastelloy-C®,B - Good,Sodium Hypochlorite (100%)
20,Hypalon®,B - Good,Sodium Hypochlorite (100%)
21,Hytrel®,D - Poor,Sodium Hypochlorite (100%)
22,Kalrez,A - Excellent,Sodium Hypochlorite (100%)
23,Kel-F®,A - Excellent,Sodium Hypochlorite (100%)
24,LDPE,B2 - Good,Sodium Hypochlorite (100%)
25,Natural rubber,C - Fair,Sodium Hypochlorite (100%)
26,Neoprene,C - Fair,Sodium Hypochlorite (100%)
27,NORYL®,A - Excellent,Sodium Hypochlorite (100%)
28,Nylon,D - Poor,Sodium Hypochlorite (100%)
29,Polycarbonate,N/A,Sodium Hypochlorite (100%)
30,Polyetherether Ketone (PEEK),B - Good,Sodium Hypochlorite (100%)
31,Polypropylene,B - Good,Sodium Hypochlorite (100%)
32,Polyurethane,D - Poor,Sodium Hypochlorite (100%)
33,PPS (Ryton®),A - Excellent,Sodium Hypochlorite (100%)
34,PTFE,A - Excellent,Sodium Hypochlorite (100%)
35,PVC,B - Good,Sodium Hypochlorite (100%)
36,PVDF (Kynar®),A - Excellent,Sodium Hypochlorite (100%)
37,Silicone,B - Good,Sodium Hypochlorite (100%)
38,stainless steel - 304,D - Poor,Sodium Hypochlorite (100%)
39,stainless steel - 316,D - Poor,Sodium Hypochlorite (100%)
40,Titanium,C - Fair,Sodium Hypochlorite (100%)
41,Tygon®,N/A,Sodium Hypochlorite (100%)
42,Viton®,A1 - Excellent,Sodium Hypochlorite (100%)
