,material,compatibility,chemical
0,,,Sodium Hyposulfate
1,ABS plastic,N/A,Sodium Hyposulfate
2,Acetal (Delrin®),N/A,Sodium Hyposulfate
3,Aluminum,D - Poor,Sodium Hyposulfate
4,Brass,N/A,Sodium Hyposulfate
5,Bronze,N/A,Sodium Hyposulfate
6,Buna N (Nitrile),N/A,Sodium Hyposulfate
7,Carbon graphite,N/A,Sodium Hyposulfate
8,Carbon Steel,N/A,Sodium Hyposulfate
9,Carpenter 20,D - Poor,Sodium Hyposulfate
10,Cast iron,D - Poor,Sodium Hyposulfate
11,Ceramic Al203,N/A,Sodium Hyposulfate
12,Ceramic magnet,N/A,Sodium Hyposulfate
13,ChemRaz (FFKM),N/A,Sodium Hyposulfate
14,Copper,N/A,Sodium Hyposulfate
15,CPVC,N/A,Sodium Hyposulfate
16,EPDM,N/A,Sodium Hyposulfate
17,Epoxy,C - Fair,Sodium Hyposulfate
18,Fluorocarbon (FKM),N/A,Sodium Hyposulfate
19,Hastelloy-C®,N/A,Sodium Hyposulfate
20,Hypalon®,N/A,Sodium Hyposulfate
21,Hytrel®,N/A,Sodium Hyposulfate
22,Kalrez,N/A,Sodium Hyposulfate
23,Kel-F®,N/A,Sodium Hyposulfate
24,LDPE,N/A,Sodium Hyposulfate
25,Natural rubber,C - Fair,Sodium Hyposulfate
26,Neoprene,C - Fair,Sodium Hyposulfate
27,NORYL®,N/A,Sodium Hyposulfate
28,Nylon,N/A,Sodium Hyposulfate
29,Polycarbonate,N/A,Sodium Hyposulfate
30,Polyetherether Ketone (PEEK),N/A,Sodium Hyposulfate
31,Polypropylene,N/A,Sodium Hyposulfate
32,Polyurethane,N/A,Sodium Hyposulfate
33,PPS (Ryton®),N/A,Sodium Hyposulfate
34,PTFE,A - Excellent,Sodium Hyposulfate
35,PVC,N/A,Sodium Hyposulfate
36,PVDF (Kynar®),N/A,Sodium Hyposulfate
37,Silicone,N/A,Sodium Hyposulfate
38,stainless steel - 304,A - Excellent,Sodium Hyposulfate
39,stainless steel - 316,A - Excellent,Sodium Hyposulfate
40,Titanium,N/A,Sodium Hyposulfate
41,Tygon®,N/A,Sodium Hyposulfate
42,Viton®,N/A,Sodium Hyposulfate
