,material,compatibility,chemical
0,,,Sodium Metaphosphate
1,ABS plastic,N/A,Sodium Metaphosphate
2,Acetal (Delrin®),B - Good,Sodium Metaphosphate
3,Aluminum,C - Fair,Sodium Metaphosphate
4,Brass,D - Poor,Sodium Metaphosphate
5,Bronze,A - Excellent,Sodium Metaphosphate
6,Buna N (Nitrile),A - Excellent,Sodium Metaphosphate
7,Carbon graphite,A - Excellent,Sodium Metaphosphate
8,Carbon Steel,D - Poor,Sodium Metaphosphate
9,Carpenter 20,A - Excellent,Sodium Metaphosphate
10,Cast iron,C - Fair,Sodium Metaphosphate
11,Ceramic Al203,N/A,Sodium Metaphosphate
12,Ceramic magnet,N/A,Sodium Metaphosphate
13,ChemRaz (FFKM),A - Excellent,Sodium Metaphosphate
14,Copper,B - Good,Sodium Metaphosphate
15,CPVC,A1 - Excellent,Sodium Metaphosphate
16,EPDM,A - Excellent,Sodium Metaphosphate
17,Epoxy,A - Excellent,Sodium Metaphosphate
18,Fluorocarbon (FKM),A - Excellent,Sodium Metaphosphate
19,Hastelloy-C®,N/A,Sodium Metaphosphate
20,Hypalon®,B - Good,Sodium Metaphosphate
21,Hytrel®,N/A,Sodium Metaphosphate
22,Kalrez,A - Excellent,Sodium Metaphosphate
23,Kel-F®,N/A,Sodium Metaphosphate
24,LDPE,A1 - Excellent,Sodium Metaphosphate
25,Natural rubber,A - Excellent,Sodium Metaphosphate
26,Neoprene,B - Good,Sodium Metaphosphate
27,NORYL®,N/A,Sodium Metaphosphate
28,Nylon,A1 - Excellent,Sodium Metaphosphate
29,Polycarbonate,N/A,Sodium Metaphosphate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Metaphosphate
31,Polypropylene,A1 - Excellent,Sodium Metaphosphate
32,Polyurethane,B - Good,Sodium Metaphosphate
33,PPS (Ryton®),N/A,Sodium Metaphosphate
34,PTFE,A - Excellent,Sodium Metaphosphate
35,PVC,A - Excellent,Sodium Metaphosphate
36,PVDF (Kynar®),A - Excellent,Sodium Metaphosphate
37,Silicone,A - Excellent,Sodium Metaphosphate
38,stainless steel - 304,A - Excellent,Sodium Metaphosphate
39,stainless steel - 316,A - Excellent,Sodium Metaphosphate
40,Titanium,N/A,Sodium Metaphosphate
41,Tygon®,N/A,Sodium Metaphosphate
42,Viton®,A - Excellent,Sodium Metaphosphate
