,material,compatibility,chemical
0,,,Sodium Metasilicate
1,ABS plastic,N/A,Sodium Metasilicate
2,Acetal (Delrin®),D - Poor,Sodium Metasilicate
3,Aluminum,D - Poor,Sodium Metasilicate
4,Brass,N/A,Sodium Metasilicate
5,Bronze,A - Excellent,Sodium Metasilicate
6,Buna N (Nitrile),A - Excellent,Sodium Metasilicate
7,Carbon graphite,N/A,Sodium Metasilicate
8,Carbon Steel,B - Good,Sodium Metasilicate
9,Carpenter 20,B - Good,Sodium Metasilicate
10,Cast iron,A1 - Excellent,Sodium Metasilicate
11,Ceramic Al203,N/A,Sodium Metasilicate
12,Ceramic magnet,N/A,Sodium Metasilicate
13,ChemRaz (FFKM),A - Excellent,Sodium Metasilicate
14,Copper,B - Good,Sodium Metasilicate
15,CPVC,A - Excellent,Sodium Metasilicate
16,EPDM,A1 - Excellent,Sodium Metasilicate
17,Epoxy,A - Excellent,Sodium Metasilicate
18,Fluorocarbon (FKM),A - Excellent,Sodium Metasilicate
19,Hastelloy-C®,A - Excellent,Sodium Metasilicate
20,Hypalon®,B - Good,Sodium Metasilicate
21,Hytrel®,N/A,Sodium Metasilicate
22,Kalrez,A - Excellent,Sodium Metasilicate
23,Kel-F®,N/A,Sodium Metasilicate
24,LDPE,N/A,Sodium Metasilicate
25,Natural rubber,A - Excellent,Sodium Metasilicate
26,Neoprene,A - Excellent,Sodium Metasilicate
27,NORYL®,N/A,Sodium Metasilicate
28,Nylon,N/A,Sodium Metasilicate
29,Polycarbonate,N/A,Sodium Metasilicate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Metasilicate
31,Polypropylene,A - Excellent,Sodium Metasilicate
32,Polyurethane,B - Good,Sodium Metasilicate
33,PPS (Ryton®),N/A,Sodium Metasilicate
34,PTFE,A - Excellent,Sodium Metasilicate
35,PVC,A - Excellent,Sodium Metasilicate
36,PVDF (Kynar®),N/A,Sodium Metasilicate
37,Silicone,N/A,Sodium Metasilicate
38,stainless steel - 304,A - Excellent,Sodium Metasilicate
39,stainless steel - 316,A - Excellent,Sodium Metasilicate
40,Titanium,N/A,Sodium Metasilicate
41,Tygon®,N/A,Sodium Metasilicate
42,Viton®,A - Excellent,Sodium Metasilicate
