,material,compatibility,chemical
0,,,Sodium Perborate
1,ABS plastic,N/A,Sodium Perborate
2,Acetal (Delrin®),B - Good,Sodium Perborate
3,Aluminum,C - Fair,Sodium Perborate
4,Brass,D - Poor,Sodium Perborate
5,Bronze,B - Good,Sodium Perborate
6,Buna N (Nitrile),B - Good,Sodium Perborate
7,Carbon graphite,C - Fair,Sodium Perborate
8,Carbon Steel,C - Fair,Sodium Perborate
9,Carpenter 20,D - Poor,Sodium Perborate
10,Cast iron,C - Fair,Sodium Perborate
11,Ceramic Al203,N/A,Sodium Perborate
12,Ceramic magnet,N/A,Sodium Perborate
13,ChemRaz (FFKM),A - Excellent,Sodium Perborate
14,Copper,B - Good,Sodium Perborate
15,CPVC,A1 - Excellent,Sodium Perborate
16,EPDM,A - Excellent,Sodium Perborate
17,Epoxy,B - Good,Sodium Perborate
18,Fluorocarbon (FKM),A - Excellent,Sodium Perborate
19,Hastelloy-C®,B - Good,Sodium Perborate
20,Hypalon®,B - Good,Sodium Perborate
21,Hytrel®,N/A,Sodium Perborate
22,Kalrez,A - Excellent,Sodium Perborate
23,Kel-F®,A - Excellent,Sodium Perborate
24,LDPE,A1 - Excellent,Sodium Perborate
25,Natural rubber,B - Good,Sodium Perborate
26,Neoprene,B - Good,Sodium Perborate
27,NORYL®,A - Excellent,Sodium Perborate
28,Nylon,B1 - Good,Sodium Perborate
29,Polycarbonate,N/A,Sodium Perborate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Perborate
31,Polypropylene,A - Excellent,Sodium Perborate
32,Polyurethane,B - Good,Sodium Perborate
33,PPS (Ryton®),N/A,Sodium Perborate
34,PTFE,A - Excellent,Sodium Perborate
35,PVC,A2 - Excellent,Sodium Perborate
36,PVDF (Kynar®),N/A,Sodium Perborate
37,Silicone,B - Good,Sodium Perborate
38,stainless steel - 304,B - Good,Sodium Perborate
39,stainless steel - 316,B - Good,Sodium Perborate
40,Titanium,N/A,Sodium Perborate
41,Tygon®,N/A,Sodium Perborate
42,Viton®,A - Excellent,Sodium Perborate
