,material,compatibility,chemical
0,,,Sodium Peroxide
1,ABS plastic,N/A,Sodium Peroxide
2,Acetal (Delrin®),D - Poor,Sodium Peroxide
3,Aluminum,C - Fair,Sodium Peroxide
4,Brass,D - Poor,Sodium Peroxide
5,Bronze,A - Excellent,Sodium Peroxide
6,Buna N (Nitrile),B - Good,Sodium Peroxide
7,Carbon graphite,A - Excellent,Sodium Peroxide
8,Carbon Steel,C - Fair,Sodium Peroxide
9,Carpenter 20,D - Poor,Sodium Peroxide
10,Cast iron,C - Fair,Sodium Peroxide
11,Ceramic Al203,N/A,Sodium Peroxide
12,Ceramic magnet,N/A,Sodium Peroxide
13,ChemRaz (FFKM),A - Excellent,Sodium Peroxide
14,Copper,B - Good,Sodium Peroxide
15,CPVC,A2 - Excellent,Sodium Peroxide
16,EPDM,A - Excellent,Sodium Peroxide
17,Epoxy,C - Fair,Sodium Peroxide
18,Fluorocarbon (FKM),A - Excellent,Sodium Peroxide
19,Hastelloy-C®,B - Good,Sodium Peroxide
20,Hypalon®,B - Good,Sodium Peroxide
21,Hytrel®,N/A,Sodium Peroxide
22,Kalrez,A - Excellent,Sodium Peroxide
23,Kel-F®,A - Excellent,Sodium Peroxide
24,LDPE,A - Excellent,Sodium Peroxide
25,Natural rubber,B - Good,Sodium Peroxide
26,Neoprene,B1 - Good,Sodium Peroxide
27,NORYL®,N/A,Sodium Peroxide
28,Nylon,A1 - Excellent,Sodium Peroxide
29,Polycarbonate,A2 - Excellent,Sodium Peroxide
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Peroxide
31,Polypropylene,B - Good,Sodium Peroxide
32,Polyurethane,D - Poor,Sodium Peroxide
33,PPS (Ryton®),N/A,Sodium Peroxide
34,PTFE,A - Excellent,Sodium Peroxide
35,PVC,B2 - Good,Sodium Peroxide
36,PVDF (Kynar®),A - Excellent,Sodium Peroxide
37,Silicone,D - Poor,Sodium Peroxide
38,stainless steel - 304,A - Excellent,Sodium Peroxide
39,stainless steel - 316,A - Excellent,Sodium Peroxide
40,Titanium,N/A,Sodium Peroxide
41,Tygon®,N/A,Sodium Peroxide
42,Viton®,A - Excellent,Sodium Peroxide
