,material,compatibility,chemical
0,,,Sodium Polyphosphate
1,ABS plastic,N/A,Sodium Polyphosphate
2,Acetal (Delrin®),B - Good,Sodium Polyphosphate
3,Aluminum,D - Poor,Sodium Polyphosphate
4,Brass,D - Poor,Sodium Polyphosphate
5,Bronze,B - Good,Sodium Polyphosphate
6,Buna N (Nitrile),A - Excellent,Sodium Polyphosphate
7,Carbon graphite,A - Excellent,Sodium Polyphosphate
8,Carbon Steel,C - Fair,Sodium Polyphosphate
9,Carpenter 20,C - Fair,Sodium Polyphosphate
10,Cast iron,D - Poor,Sodium Polyphosphate
11,Ceramic Al203,N/A,Sodium Polyphosphate
12,Ceramic magnet,N/A,Sodium Polyphosphate
13,ChemRaz (FFKM),N/A,Sodium Polyphosphate
14,Copper,A - Excellent,Sodium Polyphosphate
15,CPVC,A1 - Excellent,Sodium Polyphosphate
16,EPDM,A - Excellent,Sodium Polyphosphate
17,Epoxy,A - Excellent,Sodium Polyphosphate
18,Fluorocarbon (FKM),A - Excellent,Sodium Polyphosphate
19,Hastelloy-C®,A - Excellent,Sodium Polyphosphate
20,Hypalon®,B - Good,Sodium Polyphosphate
21,Hytrel®,N/A,Sodium Polyphosphate
22,Kalrez,N/A,Sodium Polyphosphate
23,Kel-F®,A - Excellent,Sodium Polyphosphate
24,LDPE,A - Excellent,Sodium Polyphosphate
25,Natural rubber,C - Fair,Sodium Polyphosphate
26,Neoprene,B - Good,Sodium Polyphosphate
27,NORYL®,A1 - Excellent,Sodium Polyphosphate
28,Nylon,A1 - Excellent,Sodium Polyphosphate
29,Polycarbonate,N/A,Sodium Polyphosphate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Polyphosphate
31,Polypropylene,A - Excellent,Sodium Polyphosphate
32,Polyurethane,N/A,Sodium Polyphosphate
33,PPS (Ryton®),N/A,Sodium Polyphosphate
34,PTFE,A - Excellent,Sodium Polyphosphate
35,PVC,A1 - Excellent,Sodium Polyphosphate
36,PVDF (Kynar®),A - Excellent,Sodium Polyphosphate
37,Silicone,D - Poor,Sodium Polyphosphate
38,stainless steel - 304,B - Good,Sodium Polyphosphate
39,stainless steel - 316,B - Good,Sodium Polyphosphate
40,Titanium,A - Excellent,Sodium Polyphosphate
41,Tygon®,N/A,Sodium Polyphosphate
42,Viton®,A - Excellent,Sodium Polyphosphate
