,material,compatibility,chemical
0,,,Sodium Sulfate
1,ABS plastic,N/A,Sodium Sulfate
2,Acetal (Delrin®),B - Good,Sodium Sulfate
3,Aluminum,A - Excellent,Sodium Sulfate
4,Brass,B - Good,Sodium Sulfate
5,Bronze,B - Good,Sodium Sulfate
6,Buna N (Nitrile),A - Excellent,Sodium Sulfate
7,Carbon graphite,A - Excellent,Sodium Sulfate
8,Carbon Steel,B - Good,Sodium Sulfate
9,Carpenter 20,C - Fair,Sodium Sulfate
10,Cast iron,B - Good,Sodium Sulfate
11,Ceramic Al203,A - Excellent,Sodium Sulfate
12,Ceramic magnet,N/A,Sodium Sulfate
13,ChemRaz (FFKM),A - Excellent,Sodium Sulfate
14,Copper,B - Good,Sodium Sulfate
15,CPVC,A2 - Excellent,Sodium Sulfate
16,EPDM,A - Excellent,Sodium Sulfate
17,Epoxy,A - Excellent,Sodium Sulfate
18,Fluorocarbon (FKM),A - Excellent,Sodium Sulfate
19,Hastelloy-C®,B - Good,Sodium Sulfate
20,Hypalon®,A - Excellent,Sodium Sulfate
21,Hytrel®,N/A,Sodium Sulfate
22,Kalrez,A - Excellent,Sodium Sulfate
23,Kel-F®,A - Excellent,Sodium Sulfate
24,LDPE,A2 - Excellent,Sodium Sulfate
25,Natural rubber,B - Good,Sodium Sulfate
26,Neoprene,A - Excellent,Sodium Sulfate
27,NORYL®,A - Excellent,Sodium Sulfate
28,Nylon,A - Excellent,Sodium Sulfate
29,Polycarbonate,A2 - Excellent,Sodium Sulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Sulfate
31,Polypropylene,A - Excellent,Sodium Sulfate
32,Polyurethane,A - Excellent,Sodium Sulfate
33,PPS (Ryton®),A - Excellent,Sodium Sulfate
34,PTFE,A - Excellent,Sodium Sulfate
35,PVC,A2 - Excellent,Sodium Sulfate
36,PVDF (Kynar®),A - Excellent,Sodium Sulfate
37,Silicone,A - Excellent,Sodium Sulfate
38,stainless steel - 304,B - Good,Sodium Sulfate
39,stainless steel - 316,B1 - Good,Sodium Sulfate
40,Titanium,A - Excellent,Sodium Sulfate
41,Tygon®,N/A,Sodium Sulfate
42,Viton®,A - Excellent,Sodium Sulfate
