,material,compatibility,chemical
0,,,Sodium Sulfite
1,ABS plastic,N/A,Sodium Sulfite
2,Acetal (Delrin®),N/A,Sodium Sulfite
3,Aluminum,C1 - Fair,Sodium Sulfite
4,Brass,D - Poor,Sodium Sulfite
5,Bronze,B - Good,Sodium Sulfite
6,Buna N (Nitrile),A - Excellent,Sodium Sulfite
7,Carbon graphite,A - Excellent,Sodium Sulfite
8,Carbon Steel,C - Fair,Sodium Sulfite
9,Carpenter 20,C - Fair,Sodium Sulfite
10,Cast iron,A1 - Excellent,Sodium Sulfite
11,Ceramic Al203,N/A,Sodium Sulfite
12,Ceramic magnet,N/A,Sodium Sulfite
13,ChemRaz (FFKM),A - Excellent,Sodium Sulfite
14,Copper,D - Poor,Sodium Sulfite
15,CPVC,A2 - Excellent,Sodium Sulfite
16,EPDM,A - Excellent,Sodium Sulfite
17,Epoxy,A - Excellent,Sodium Sulfite
18,Fluorocarbon (FKM),A - Excellent,Sodium Sulfite
19,Hastelloy-C®,B - Good,Sodium Sulfite
20,Hypalon®,A - Excellent,Sodium Sulfite
21,Hytrel®,N/A,Sodium Sulfite
22,Kalrez,A - Excellent,Sodium Sulfite
23,Kel-F®,A - Excellent,Sodium Sulfite
24,LDPE,B1 - Good,Sodium Sulfite
25,Natural rubber,B - Good,Sodium Sulfite
26,Neoprene,A - Excellent,Sodium Sulfite
27,NORYL®,A - Excellent,Sodium Sulfite
28,Nylon,D - Poor,Sodium Sulfite
29,Polycarbonate,N/A,Sodium Sulfite
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Sulfite
31,Polypropylene,A2 - Excellent,Sodium Sulfite
32,Polyurethane,A - Excellent,Sodium Sulfite
33,PPS (Ryton®),N/A,Sodium Sulfite
34,PTFE,A - Excellent,Sodium Sulfite
35,PVC,A2 - Excellent,Sodium Sulfite
36,PVDF (Kynar®),A - Excellent,Sodium Sulfite
37,Silicone,A - Excellent,Sodium Sulfite
38,stainless steel - 304,B - Good,Sodium Sulfite
39,stainless steel - 316,A - Excellent,Sodium Sulfite
40,Titanium,A - Excellent,Sodium Sulfite
41,Tygon®,A - Excellent,Sodium Sulfite
42,Viton®,A2 - Excellent,Sodium Sulfite
