,material,compatibility,chemical
0,,,Sodium Tetraborate
1,ABS plastic,N/A,Sodium Tetraborate
2,Acetal (Delrin®),B - Good,Sodium Tetraborate
3,Aluminum,C - Fair,Sodium Tetraborate
4,Brass,N/A,Sodium Tetraborate
5,Bronze,A - Excellent,Sodium Tetraborate
6,Buna N (Nitrile),A - Excellent,Sodium Tetraborate
7,Carbon graphite,A - Excellent,Sodium Tetraborate
8,Carbon Steel,A - Excellent,Sodium Tetraborate
9,Carpenter 20,N/A,Sodium Tetraborate
10,Cast iron,N/A,Sodium Tetraborate
11,Ceramic Al203,N/A,Sodium Tetraborate
12,Ceramic magnet,N/A,Sodium Tetraborate
13,ChemRaz (FFKM),A - Excellent,Sodium Tetraborate
14,Copper,B - Good,Sodium Tetraborate
15,CPVC,A - Excellent,Sodium Tetraborate
16,EPDM,A - Excellent,Sodium Tetraborate
17,Epoxy,A - Excellent,Sodium Tetraborate
18,Fluorocarbon (FKM),A - Excellent,Sodium Tetraborate
19,Hastelloy-C®,N/A,Sodium Tetraborate
20,Hypalon®,A - Excellent,Sodium Tetraborate
21,Hytrel®,N/A,Sodium Tetraborate
22,Kalrez,A - Excellent,Sodium Tetraborate
23,Kel-F®,N/A,Sodium Tetraborate
24,LDPE,A2 - Excellent,Sodium Tetraborate
25,Natural rubber,A - Excellent,Sodium Tetraborate
26,Neoprene,B - Good,Sodium Tetraborate
27,NORYL®,A - Excellent,Sodium Tetraborate
28,Nylon,A - Excellent,Sodium Tetraborate
29,Polycarbonate,N/A,Sodium Tetraborate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Tetraborate
31,Polypropylene,N/A,Sodium Tetraborate
32,Polyurethane,B - Good,Sodium Tetraborate
33,PPS (Ryton®),N/A,Sodium Tetraborate
34,PTFE,A - Excellent,Sodium Tetraborate
35,PVC,A2 - Excellent,Sodium Tetraborate
36,PVDF (Kynar®),N/A,Sodium Tetraborate
37,Silicone,A - Excellent,Sodium Tetraborate
38,stainless steel - 304,A2 - Excellent,Sodium Tetraborate
39,stainless steel - 316,A - Excellent,Sodium Tetraborate
40,Titanium,N/A,Sodium Tetraborate
41,Tygon®,N/A,Sodium Tetraborate
42,Viton®,A - Excellent,Sodium Tetraborate
