,material,compatibility,chemical
0,,,Sodium Thiosulfate (hypo)
1,ABS plastic,N/A,Sodium Thiosulfate (hypo)
2,Acetal (Delrin®),C1 - Fair,Sodium Thiosulfate (hypo)
3,Aluminum,A - Excellent,Sodium Thiosulfate (hypo)
4,Brass,D - Poor,Sodium Thiosulfate (hypo)
5,Bronze,A2 - Excellent,Sodium Thiosulfate (hypo)
6,Buna N (Nitrile),B - Good,Sodium Thiosulfate (hypo)
7,Carbon graphite,A - Excellent,Sodium Thiosulfate (hypo)
8,Carbon Steel,D - Poor,Sodium Thiosulfate (hypo)
9,Carpenter 20,D - Poor,Sodium Thiosulfate (hypo)
10,Cast iron,C - Fair,Sodium Thiosulfate (hypo)
11,Ceramic Al203,N/A,Sodium Thiosulfate (hypo)
12,Ceramic magnet,N/A,Sodium Thiosulfate (hypo)
13,ChemRaz (FFKM),N/A,Sodium Thiosulfate (hypo)
14,Copper,D - Poor,Sodium Thiosulfate (hypo)
15,CPVC,A2 - Excellent,Sodium Thiosulfate (hypo)
16,EPDM,A2 - Excellent,Sodium Thiosulfate (hypo)
17,Epoxy,A - Excellent,Sodium Thiosulfate (hypo)
18,Fluorocarbon (FKM),N/A,Sodium Thiosulfate (hypo)
19,Hastelloy-C®,A2 - Excellent,Sodium Thiosulfate (hypo)
20,Hypalon®,A - Excellent,Sodium Thiosulfate (hypo)
21,Hytrel®,N/A,Sodium Thiosulfate (hypo)
22,Kalrez,N/A,Sodium Thiosulfate (hypo)
23,Kel-F®,A - Excellent,Sodium Thiosulfate (hypo)
24,LDPE,A1 - Excellent,Sodium Thiosulfate (hypo)
25,Natural rubber,B - Good,Sodium Thiosulfate (hypo)
26,Neoprene,A2 - Excellent,Sodium Thiosulfate (hypo)
27,NORYL®,A - Excellent,Sodium Thiosulfate (hypo)
28,Nylon,B - Good,Sodium Thiosulfate (hypo)
29,Polycarbonate,D - Poor,Sodium Thiosulfate (hypo)
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Thiosulfate (hypo)
31,Polypropylene,A2 - Excellent,Sodium Thiosulfate (hypo)
32,Polyurethane,N/A,Sodium Thiosulfate (hypo)
33,PPS (Ryton®),A - Excellent,Sodium Thiosulfate (hypo)
34,PTFE,A - Excellent,Sodium Thiosulfate (hypo)
35,PVC,A2 - Excellent,Sodium Thiosulfate (hypo)
36,PVDF (Kynar®),A - Excellent,Sodium Thiosulfate (hypo)
37,Silicone,A - Excellent,Sodium Thiosulfate (hypo)
38,stainless steel - 304,A2 - Excellent,Sodium Thiosulfate (hypo)
39,stainless steel - 316,B - Good,Sodium Thiosulfate (hypo)
40,Titanium,A - Excellent,Sodium Thiosulfate (hypo)
41,Tygon®,N/A,Sodium Thiosulfate (hypo)
42,Viton®,A - Excellent,Sodium Thiosulfate (hypo)
