,material,compatibility,chemical
0,,,Sorghum
1,ABS plastic,N/A,Sorghum
2,Acetal (Delrin®),A - Excellent,Sorghum
3,Aluminum,N/A,Sorghum
4,Brass,N/A,Sorghum
5,Bronze,A - Excellent,Sorghum
6,Buna N (Nitrile),A - Excellent,Sorghum
7,Carbon graphite,N/A,Sorghum
8,Carbon Steel,N/A,Sorghum
9,Carpenter 20,D - Poor,Sorghum
10,Cast iron,A - Excellent,Sorghum
11,Ceramic Al203,N/A,Sorghum
12,Ceramic magnet,N/A,Sorghum
13,ChemRaz (FFKM),N/A,Sorghum
14,Copper,N/A,Sorghum
15,CPVC,N/A,Sorghum
16,EPDM,N/A,Sorghum
17,Epoxy,A - Excellent,Sorghum
18,Fluorocarbon (FKM),A - Excellent,Sorghum
19,Hastelloy-C®,N/A,Sorghum
20,Hypalon®,N/A,Sorghum
21,Hytrel®,N/A,Sorghum
22,Kalrez,N/A,Sorghum
23,Kel-F®,N/A,Sorghum
24,LDPE,N/A,Sorghum
25,Natural rubber,A - Excellent,Sorghum
26,Neoprene,A - Excellent,Sorghum
27,NORYL®,N/A,Sorghum
28,Nylon,A - Excellent,Sorghum
29,Polycarbonate,N/A,Sorghum
30,Polyetherether Ketone (PEEK),N/A,Sorghum
31,Polypropylene,N/A,Sorghum
32,Polyurethane,N/A,Sorghum
33,PPS (Ryton®),N/A,Sorghum
34,PTFE,N/A,Sorghum
35,PVC,N/A,Sorghum
36,PVDF (Kynar®),N/A,Sorghum
37,Silicone,N/A,Sorghum
38,stainless steel - 304,A - Excellent,Sorghum
39,stainless steel - 316,A - Excellent,Sorghum
40,Titanium,N/A,Sorghum
41,Tygon®,N/A,Sorghum
42,Viton®,A - Excellent,Sorghum
