,material,compatibility,chemical
0,,,Soy Sauce
1,ABS plastic,N/A,Soy Sauce
2,Acetal (Delrin®),A - Excellent,Soy Sauce
3,Aluminum,A - Excellent,Soy Sauce
4,Brass,N/A,Soy Sauce
5,Bronze,A - Excellent,Soy Sauce
6,Buna N (Nitrile),A - Excellent,Soy Sauce
7,Carbon graphite,N/A,Soy Sauce
8,Carbon Steel,N/A,Soy Sauce
9,Carpenter 20,A - Excellent,Soy Sauce
10,Cast iron,D - Poor,Soy Sauce
11,Ceramic Al203,N/A,Soy Sauce
12,Ceramic magnet,N/A,Soy Sauce
13,ChemRaz (FFKM),N/A,Soy Sauce
14,Copper,N/A,Soy Sauce
15,CPVC,N/A,Soy Sauce
16,EPDM,N/A,Soy Sauce
17,Epoxy,A - Excellent,Soy Sauce
18,Fluorocarbon (FKM),A - Excellent,Soy Sauce
19,Hastelloy-C®,N/A,Soy Sauce
20,Hypalon®,N/A,Soy Sauce
21,Hytrel®,N/A,Soy Sauce
22,Kalrez,N/A,Soy Sauce
23,Kel-F®,N/A,Soy Sauce
24,LDPE,N/A,Soy Sauce
25,Natural rubber,N/A,Soy Sauce
26,Neoprene,A - Excellent,Soy Sauce
27,NORYL®,A - Excellent,Soy Sauce
28,Nylon,A - Excellent,Soy Sauce
29,Polycarbonate,N/A,Soy Sauce
30,Polyetherether Ketone (PEEK),N/A,Soy Sauce
31,Polypropylene,N/A,Soy Sauce
32,Polyurethane,N/A,Soy Sauce
33,PPS (Ryton®),N/A,Soy Sauce
34,PTFE,N/A,Soy Sauce
35,PVC,N/A,Soy Sauce
36,PVDF (Kynar®),N/A,Soy Sauce
37,Silicone,N/A,Soy Sauce
38,stainless steel - 304,A - Excellent,Soy Sauce
39,stainless steel - 316,A - Excellent,Soy Sauce
40,Titanium,N/A,Soy Sauce
41,Tygon®,N/A,Soy Sauce
42,Viton®,A - Excellent,Soy Sauce
