,material,compatibility,chemical
0,,,Stannic Chloride
1,ABS plastic,N/A,Stannic Chloride
2,Acetal (Delrin®),C - Fair,Stannic Chloride
3,Aluminum,D - Poor,Stannic Chloride
4,Brass,N/A,Stannic Chloride
5,Bronze,A - Excellent,Stannic Chloride
6,Buna N (Nitrile),A - Excellent,Stannic Chloride
7,Carbon graphite,A - Excellent,Stannic Chloride
8,Carbon Steel,D - Poor,Stannic Chloride
9,Carpenter 20,D - Poor,Stannic Chloride
10,Cast iron,D - Poor,Stannic Chloride
11,Ceramic Al203,A - Excellent,Stannic Chloride
12,Ceramic magnet,N/A,Stannic Chloride
13,ChemRaz (FFKM),B - Good,Stannic Chloride
14,Copper,N/A,Stannic Chloride
15,CPVC,A2 - Excellent,Stannic Chloride
16,EPDM,A - Excellent,Stannic Chloride
17,Epoxy,A - Excellent,Stannic Chloride
18,Fluorocarbon (FKM),A - Excellent,Stannic Chloride
19,Hastelloy-C®,B - Good,Stannic Chloride
20,Hypalon®,C1 - Fair,Stannic Chloride
21,Hytrel®,N/A,Stannic Chloride
22,Kalrez,A - Excellent,Stannic Chloride
23,Kel-F®,A - Excellent,Stannic Chloride
24,LDPE,A2 - Excellent,Stannic Chloride
25,Natural rubber,A - Excellent,Stannic Chloride
26,Neoprene,C1 - Fair,Stannic Chloride
27,NORYL®,A1 - Excellent,Stannic Chloride
28,Nylon,B1 - Good,Stannic Chloride
29,Polycarbonate,A1 - Excellent,Stannic Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Stannic Chloride
31,Polypropylene,A - Excellent,Stannic Chloride
32,Polyurethane,B - Good,Stannic Chloride
33,PPS (Ryton®),A - Excellent,Stannic Chloride
34,PTFE,A - Excellent,Stannic Chloride
35,PVC,A2 - Excellent,Stannic Chloride
36,PVDF (Kynar®),A - Excellent,Stannic Chloride
37,Silicone,B - Good,Stannic Chloride
38,stainless steel - 304,D - Poor,Stannic Chloride
39,stainless steel - 316,D - Poor,Stannic Chloride
40,Titanium,A - Excellent,Stannic Chloride
41,Tygon®,N/A,Stannic Chloride
42,Viton®,A - Excellent,Stannic Chloride
