,material,compatibility,chemical
0,,,Stannic Fluoborate
1,ABS plastic,N/A,Stannic Fluoborate
2,Acetal (Delrin®),C - Fair,Stannic Fluoborate
3,Aluminum,N/A,Stannic Fluoborate
4,Brass,N/A,Stannic Fluoborate
5,Bronze,N/A,Stannic Fluoborate
6,Buna N (Nitrile),A - Excellent,Stannic Fluoborate
7,Carbon graphite,N/A,Stannic Fluoborate
8,Carbon Steel,N/A,Stannic Fluoborate
9,Carpenter 20,D - Poor,Stannic Fluoborate
10,Cast iron,D - Poor,Stannic Fluoborate
11,Ceramic Al203,N/A,Stannic Fluoborate
12,Ceramic magnet,N/A,Stannic Fluoborate
13,ChemRaz (FFKM),N/A,Stannic Fluoborate
14,Copper,N/A,Stannic Fluoborate
15,CPVC,N/A,Stannic Fluoborate
16,EPDM,N/A,Stannic Fluoborate
17,Epoxy,A - Excellent,Stannic Fluoborate
18,Fluorocarbon (FKM),A - Excellent,Stannic Fluoborate
19,Hastelloy-C®,N/A,Stannic Fluoborate
20,Hypalon®,N/A,Stannic Fluoborate
21,Hytrel®,N/A,Stannic Fluoborate
22,Kalrez,N/A,Stannic Fluoborate
23,Kel-F®,N/A,Stannic Fluoborate
24,LDPE,N/A,Stannic Fluoborate
25,Natural rubber,N/A,Stannic Fluoborate
26,Neoprene,A - Excellent,Stannic Fluoborate
27,NORYL®,A - Excellent,Stannic Fluoborate
28,Nylon,N/A,Stannic Fluoborate
29,Polycarbonate,N/A,Stannic Fluoborate
30,Polyetherether Ketone (PEEK),N/A,Stannic Fluoborate
31,Polypropylene,N/A,Stannic Fluoborate
32,Polyurethane,N/A,Stannic Fluoborate
33,PPS (Ryton®),N/A,Stannic Fluoborate
34,PTFE,N/A,Stannic Fluoborate
35,PVC,N/A,Stannic Fluoborate
36,PVDF (Kynar®),N/A,Stannic Fluoborate
37,Silicone,N/A,Stannic Fluoborate
38,stainless steel - 304,N/A,Stannic Fluoborate
39,stainless steel - 316,A - Excellent,Stannic Fluoborate
40,Titanium,N/A,Stannic Fluoborate
41,Tygon®,N/A,Stannic Fluoborate
42,Viton®,A - Excellent,Stannic Fluoborate
