,material,compatibility,chemical
0,,,Stearic Acid
1,ABS plastic,N/A,Stearic Acid
2,Acetal (Delrin®),A - Excellent,Stearic Acid
3,Aluminum,B - Good,Stearic Acid
4,Brass,D - Poor,Stearic Acid
5,Bronze,B - Good,Stearic Acid
6,Buna N (Nitrile),B - Good,Stearic Acid
7,Carbon graphite,A - Excellent,Stearic Acid
8,Carbon Steel,D - Poor,Stearic Acid
9,Carpenter 20,C - Fair,Stearic Acid
10,Cast iron,C - Fair,Stearic Acid
11,Ceramic Al203,N/A,Stearic Acid
12,Ceramic magnet,N/A,Stearic Acid
13,ChemRaz (FFKM),A - Excellent,Stearic Acid
14,Copper,D - Poor,Stearic Acid
15,CPVC,B2 - Good,Stearic Acid
16,EPDM,B - Good,Stearic Acid
17,Epoxy,B - Good,Stearic Acid
18,Fluorocarbon (FKM),A - Excellent,Stearic Acid
19,Hastelloy-C®,B - Good,Stearic Acid
20,Hypalon®,C - Fair,Stearic Acid
21,Hytrel®,C - Fair,Stearic Acid
22,Kalrez,A - Excellent,Stearic Acid
23,Kel-F®,N/A,Stearic Acid
24,LDPE,B1 - Good,Stearic Acid
25,Natural rubber,N/A,Stearic Acid
26,Neoprene,B1 - Good,Stearic Acid
27,NORYL®,A - Excellent,Stearic Acid
28,Nylon,A2 - Excellent,Stearic Acid
29,Polycarbonate,A1 - Excellent,Stearic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Stearic Acid
31,Polypropylene,A2 - Excellent,Stearic Acid
32,Polyurethane,A - Excellent,Stearic Acid
33,PPS (Ryton®),N/A,Stearic Acid
34,PTFE,A - Excellent,Stearic Acid
35,PVC,B2 - Good,Stearic Acid
36,PVDF (Kynar®),A - Excellent,Stearic Acid
37,Silicone,B - Good,Stearic Acid
38,stainless steel - 304,B - Good,Stearic Acid
39,stainless steel - 316,A - Excellent,Stearic Acid
40,Titanium,A - Excellent,Stearic Acid
41,Tygon®,B - Good,Stearic Acid
42,Viton®,A1 - Excellent,Stearic Acid
