,material,compatibility,chemical
0,,,Stoddard Solvent
1,ABS plastic,B - Good,Stoddard Solvent
2,Acetal (Delrin®),A - Excellent,Stoddard Solvent
3,Aluminum,A - Excellent,Stoddard Solvent
4,Brass,N/A,Stoddard Solvent
5,Bronze,A - Excellent,Stoddard Solvent
6,Buna N (Nitrile),A - Excellent,Stoddard Solvent
7,Carbon graphite,A - Excellent,Stoddard Solvent
8,Carbon Steel,A - Excellent,Stoddard Solvent
9,Carpenter 20,A - Excellent,Stoddard Solvent
10,Cast iron,A - Excellent,Stoddard Solvent
11,Ceramic Al203,N/A,Stoddard Solvent
12,Ceramic magnet,N/A,Stoddard Solvent
13,ChemRaz (FFKM),A - Excellent,Stoddard Solvent
14,Copper,A - Excellent,Stoddard Solvent
15,CPVC,C1 - Fair,Stoddard Solvent
16,EPDM,D - Poor,Stoddard Solvent
17,Epoxy,A - Excellent,Stoddard Solvent
18,Fluorocarbon (FKM),A - Excellent,Stoddard Solvent
19,Hastelloy-C®,A - Excellent,Stoddard Solvent
20,Hypalon®,N/A,Stoddard Solvent
21,Hytrel®,N/A,Stoddard Solvent
22,Kalrez,A - Excellent,Stoddard Solvent
23,Kel-F®,A - Excellent,Stoddard Solvent
24,LDPE,C2 - Fair,Stoddard Solvent
25,Natural rubber,D - Poor,Stoddard Solvent
26,Neoprene,C1 - Fair,Stoddard Solvent
27,NORYL®,D - Poor,Stoddard Solvent
28,Nylon,A - Excellent,Stoddard Solvent
29,Polycarbonate,A2 - Excellent,Stoddard Solvent
30,Polyetherether Ketone (PEEK),A - Excellent,Stoddard Solvent
31,Polypropylene,C - Fair,Stoddard Solvent
32,Polyurethane,B - Good,Stoddard Solvent
33,PPS (Ryton®),A - Excellent,Stoddard Solvent
34,PTFE,A - Excellent,Stoddard Solvent
35,PVC,C1 - Fair,Stoddard Solvent
36,PVDF (Kynar®),A - Excellent,Stoddard Solvent
37,Silicone,D - Poor,Stoddard Solvent
38,stainless steel - 304,A - Excellent,Stoddard Solvent
39,stainless steel - 316,A - Excellent,Stoddard Solvent
40,Titanium,A - Excellent,Stoddard Solvent
41,Tygon®,C - Fair,Stoddard Solvent
42,Viton®,A - Excellent,Stoddard Solvent
