,material,compatibility,chemical
0,,,Styrene
1,ABS plastic,N/A,Styrene
2,Acetal (Delrin®),A - Excellent,Styrene
3,Aluminum,A - Excellent,Styrene
4,Brass,A - Excellent,Styrene
5,Bronze,A - Excellent,Styrene
6,Buna N (Nitrile),D - Poor,Styrene
7,Carbon graphite,A - Excellent,Styrene
8,Carbon Steel,C - Fair,Styrene
9,Carpenter 20,A - Excellent,Styrene
10,Cast iron,A - Excellent,Styrene
11,Ceramic Al203,N/A,Styrene
12,Ceramic magnet,N/A,Styrene
13,ChemRaz (FFKM),A - Excellent,Styrene
14,Copper,B - Good,Styrene
15,CPVC,D - Poor,Styrene
16,EPDM,D - Poor,Styrene
17,Epoxy,A - Excellent,Styrene
18,Fluorocarbon (FKM),B - Good,Styrene
19,Hastelloy-C®,D - Poor,Styrene
20,Hypalon®,D - Poor,Styrene
21,Hytrel®,D - Poor,Styrene
22,Kalrez,A - Excellent,Styrene
23,Kel-F®,N/A,Styrene
24,LDPE,N/A,Styrene
25,Natural rubber,D - Poor,Styrene
26,Neoprene,D - Poor,Styrene
27,NORYL®,A - Excellent,Styrene
28,Nylon,A1 - Excellent,Styrene
29,Polycarbonate,D - Poor,Styrene
30,Polyetherether Ketone (PEEK),A - Excellent,Styrene
31,Polypropylene,N/A,Styrene
32,Polyurethane,D - Poor,Styrene
33,PPS (Ryton®),N/A,Styrene
34,PTFE,A - Excellent,Styrene
35,PVC,D - Poor,Styrene
36,PVDF (Kynar®),N/A,Styrene
37,Silicone,D - Poor,Styrene
38,stainless steel - 304,A - Excellent,Styrene
39,stainless steel - 316,A - Excellent,Styrene
40,Titanium,N/A,Styrene
41,Tygon®,N/A,Styrene
42,Viton®,B - Good,Styrene
