,material,compatibility,chemical
0,,,Sugar (Liquids)
1,ABS plastic,B - Good,Sugar (Liquids)
2,Acetal (Delrin®),A - Excellent,Sugar (Liquids)
3,Aluminum,A - Excellent,Sugar (Liquids)
4,Brass,N/A,Sugar (Liquids)
5,Bronze,A - Excellent,Sugar (Liquids)
6,Buna N (Nitrile),A - Excellent,Sugar (Liquids)
7,Carbon graphite,A - Excellent,Sugar (Liquids)
8,Carbon Steel,A - Excellent,Sugar (Liquids)
9,Carpenter 20,A - Excellent,Sugar (Liquids)
10,Cast iron,N/A,Sugar (Liquids)
11,Ceramic Al203,N/A,Sugar (Liquids)
12,Ceramic magnet,N/A,Sugar (Liquids)
13,ChemRaz (FFKM),N/A,Sugar (Liquids)
14,Copper,A - Excellent,Sugar (Liquids)
15,CPVC,N/A,Sugar (Liquids)
16,EPDM,A - Excellent,Sugar (Liquids)
17,Epoxy,A - Excellent,Sugar (Liquids)
18,Fluorocarbon (FKM),A - Excellent,Sugar (Liquids)
19,Hastelloy-C®,A - Excellent,Sugar (Liquids)
20,Hypalon®,A - Excellent,Sugar (Liquids)
21,Hytrel®,N/A,Sugar (Liquids)
22,Kalrez,N/A,Sugar (Liquids)
23,Kel-F®,N/A,Sugar (Liquids)
24,LDPE,N/A,Sugar (Liquids)
25,Natural rubber,A - Excellent,Sugar (Liquids)
26,Neoprene,A - Excellent,Sugar (Liquids)
27,NORYL®,A2 - Excellent,Sugar (Liquids)
28,Nylon,A1 - Excellent,Sugar (Liquids)
29,Polycarbonate,N/A,Sugar (Liquids)
30,Polyetherether Ketone (PEEK),N/A,Sugar (Liquids)
31,Polypropylene,A - Excellent,Sugar (Liquids)
32,Polyurethane,D - Poor,Sugar (Liquids)
33,PPS (Ryton®),N/A,Sugar (Liquids)
34,PTFE,A - Excellent,Sugar (Liquids)
35,PVC,N/A,Sugar (Liquids)
36,PVDF (Kynar®),N/A,Sugar (Liquids)
37,Silicone,A - Excellent,Sugar (Liquids)
38,stainless steel - 304,A - Excellent,Sugar (Liquids)
39,stainless steel - 316,A - Excellent,Sugar (Liquids)
40,Titanium,N/A,Sugar (Liquids)
41,Tygon®,B - Good,Sugar (Liquids)
42,Viton®,A - Excellent,Sugar (Liquids)
