,material,compatibility,chemical
0,,,Sulfate (Liquors)
1,ABS plastic,N/A,Sulfate (Liquors)
2,Acetal (Delrin®),D - Poor,Sulfate (Liquors)
3,Aluminum,D - Poor,Sulfate (Liquors)
4,Brass,N/A,Sulfate (Liquors)
5,Bronze,B - Good,Sulfate (Liquors)
6,Buna N (Nitrile),A2 - Excellent,Sulfate (Liquors)
7,Carbon graphite,A - Excellent,Sulfate (Liquors)
8,Carbon Steel,D - Poor,Sulfate (Liquors)
9,Carpenter 20,D - Poor,Sulfate (Liquors)
10,Cast iron,C - Fair,Sulfate (Liquors)
11,Ceramic Al203,N/A,Sulfate (Liquors)
12,Ceramic magnet,N/A,Sulfate (Liquors)
13,ChemRaz (FFKM),A - Excellent,Sulfate (Liquors)
14,Copper,D - Poor,Sulfate (Liquors)
15,CPVC,B - Good,Sulfate (Liquors)
16,EPDM,A - Excellent,Sulfate (Liquors)
17,Epoxy,A - Excellent,Sulfate (Liquors)
18,Fluorocarbon (FKM),A - Excellent,Sulfate (Liquors)
19,Hastelloy-C®,B - Good,Sulfate (Liquors)
20,Hypalon®,B - Good,Sulfate (Liquors)
21,Hytrel®,N/A,Sulfate (Liquors)
22,Kalrez,A - Excellent,Sulfate (Liquors)
23,Kel-F®,N/A,Sulfate (Liquors)
24,LDPE,A2 - Excellent,Sulfate (Liquors)
25,Natural rubber,B - Good,Sulfate (Liquors)
26,Neoprene,B - Good,Sulfate (Liquors)
27,NORYL®,N/A,Sulfate (Liquors)
28,Nylon,B1 - Good,Sulfate (Liquors)
29,Polycarbonate,N/A,Sulfate (Liquors)
30,Polyetherether Ketone (PEEK),N/A,Sulfate (Liquors)
31,Polypropylene,A - Excellent,Sulfate (Liquors)
32,Polyurethane,D - Poor,Sulfate (Liquors)
33,PPS (Ryton®),N/A,Sulfate (Liquors)
34,PTFE,A - Excellent,Sulfate (Liquors)
35,PVC,B - Good,Sulfate (Liquors)
36,PVDF (Kynar®),A - Excellent,Sulfate (Liquors)
37,Silicone,B - Good,Sulfate (Liquors)
38,stainless steel - 304,B - Good,Sulfate (Liquors)
39,stainless steel - 316,B - Good,Sulfate (Liquors)
40,Titanium,N/A,Sulfate (Liquors)
41,Tygon®,N/A,Sulfate (Liquors)
42,Viton®,A1 - Excellent,Sulfate (Liquors)
