,material,compatibility,chemical
0,,,Sulfur Chloride
1,ABS plastic,N/A,Sulfur Chloride
2,Acetal (Delrin®),D - Poor,Sulfur Chloride
3,Aluminum,D - Poor,Sulfur Chloride
4,Brass,D - Poor,Sulfur Chloride
5,Bronze,B - Good,Sulfur Chloride
6,Buna N (Nitrile),D - Poor,Sulfur Chloride
7,Carbon graphite,D - Poor,Sulfur Chloride
8,Carbon Steel,D - Poor,Sulfur Chloride
9,Carpenter 20,D - Poor,Sulfur Chloride
10,Cast iron,D - Poor,Sulfur Chloride
11,Ceramic Al203,N/A,Sulfur Chloride
12,Ceramic magnet,N/A,Sulfur Chloride
13,ChemRaz (FFKM),A - Excellent,Sulfur Chloride
14,Copper,B - Good,Sulfur Chloride
15,CPVC,C1 - Fair,Sulfur Chloride
16,EPDM,D - Poor,Sulfur Chloride
17,Epoxy,C - Fair,Sulfur Chloride
18,Fluorocarbon (FKM),A - Excellent,Sulfur Chloride
19,Hastelloy-C®,A - Excellent,Sulfur Chloride
20,Hypalon®,N/A,Sulfur Chloride
21,Hytrel®,N/A,Sulfur Chloride
22,Kalrez,A - Excellent,Sulfur Chloride
23,Kel-F®,A - Excellent,Sulfur Chloride
24,LDPE,C1 - Fair,Sulfur Chloride
25,Natural rubber,D - Poor,Sulfur Chloride
26,Neoprene,D - Poor,Sulfur Chloride
27,NORYL®,A - Excellent,Sulfur Chloride
28,Nylon,A1 - Excellent,Sulfur Chloride
29,Polycarbonate,N/A,Sulfur Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfur Chloride
31,Polypropylene,C1 - Fair,Sulfur Chloride
32,Polyurethane,C - Fair,Sulfur Chloride
33,PPS (Ryton®),N/A,Sulfur Chloride
34,PTFE,A - Excellent,Sulfur Chloride
35,PVC,C1 - Fair,Sulfur Chloride
36,PVDF (Kynar®),A1 - Excellent,Sulfur Chloride
37,Silicone,C - Fair,Sulfur Chloride
38,stainless steel - 304,D - Poor,Sulfur Chloride
39,stainless steel - 316,D - Poor,Sulfur Chloride
40,Titanium,D - Poor,Sulfur Chloride
41,Tygon®,C - Fair,Sulfur Chloride
42,Viton®,A - Excellent,Sulfur Chloride
