,material,compatibility,chemical
0,,,Sulfur Hexafluoride
1,ABS plastic,N/A,Sulfur Hexafluoride
2,Acetal (Delrin®),B - Good,Sulfur Hexafluoride
3,Aluminum,B - Good,Sulfur Hexafluoride
4,Brass,D - Poor,Sulfur Hexafluoride
5,Bronze,B - Good,Sulfur Hexafluoride
6,Buna N (Nitrile),D - Poor,Sulfur Hexafluoride
7,Carbon graphite,A - Excellent,Sulfur Hexafluoride
8,Carbon Steel,A - Excellent,Sulfur Hexafluoride
9,Carpenter 20,A - Excellent,Sulfur Hexafluoride
10,Cast iron,A - Excellent,Sulfur Hexafluoride
11,Ceramic Al203,N/A,Sulfur Hexafluoride
12,Ceramic magnet,N/A,Sulfur Hexafluoride
13,ChemRaz (FFKM),A - Excellent,Sulfur Hexafluoride
14,Copper,A - Excellent,Sulfur Hexafluoride
15,CPVC,A2 - Excellent,Sulfur Hexafluoride
16,EPDM,A2 - Excellent,Sulfur Hexafluoride
17,Epoxy,A1 - Excellent,Sulfur Hexafluoride
18,Fluorocarbon (FKM),A - Excellent,Sulfur Hexafluoride
19,Hastelloy-C®,B - Good,Sulfur Hexafluoride
20,Hypalon®,N/A,Sulfur Hexafluoride
21,Hytrel®,C - Fair,Sulfur Hexafluoride
22,Kalrez,A - Excellent,Sulfur Hexafluoride
23,Kel-F®,A - Excellent,Sulfur Hexafluoride
24,LDPE,A1 - Excellent,Sulfur Hexafluoride
25,Natural rubber,C - Fair,Sulfur Hexafluoride
26,Neoprene,D - Poor,Sulfur Hexafluoride
27,NORYL®,A - Excellent,Sulfur Hexafluoride
28,Nylon,B1 - Good,Sulfur Hexafluoride
29,Polycarbonate,A1 - Excellent,Sulfur Hexafluoride
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfur Hexafluoride
31,Polypropylene,A1 - Excellent,Sulfur Hexafluoride
32,Polyurethane,C - Fair,Sulfur Hexafluoride
33,PPS (Ryton®),A - Excellent,Sulfur Hexafluoride
34,PTFE,A - Excellent,Sulfur Hexafluoride
35,PVC,A2 - Excellent,Sulfur Hexafluoride
36,PVDF (Kynar®),A - Excellent,Sulfur Hexafluoride
37,Silicone,B - Good,Sulfur Hexafluoride
38,stainless steel - 304,D - Poor,Sulfur Hexafluoride
39,stainless steel - 316,A - Excellent,Sulfur Hexafluoride
40,Titanium,A - Excellent,Sulfur Hexafluoride
41,Tygon®,C - Fair,Sulfur Hexafluoride
42,Viton®,A - Excellent,Sulfur Hexafluoride
