,material,compatibility,chemical
0,,,Sulfur Trioxide (dry)
1,ABS plastic,N/A,Sulfur Trioxide (dry)
2,Acetal (Delrin®),N/A,Sulfur Trioxide (dry)
3,Aluminum,A - Excellent,Sulfur Trioxide (dry)
4,Brass,D - Poor,Sulfur Trioxide (dry)
5,Bronze,C - Fair,Sulfur Trioxide (dry)
6,Buna N (Nitrile),D - Poor,Sulfur Trioxide (dry)
7,Carbon graphite,B - Good,Sulfur Trioxide (dry)
8,Carbon Steel,C - Fair,Sulfur Trioxide (dry)
9,Carpenter 20,A - Excellent,Sulfur Trioxide (dry)
10,Cast iron,B - Good,Sulfur Trioxide (dry)
11,Ceramic Al203,N/A,Sulfur Trioxide (dry)
12,Ceramic magnet,N/A,Sulfur Trioxide (dry)
13,ChemRaz (FFKM),B - Good,Sulfur Trioxide (dry)
14,Copper,N/A,Sulfur Trioxide (dry)
15,CPVC,A - Excellent,Sulfur Trioxide (dry)
16,EPDM,C2 - Fair,Sulfur Trioxide (dry)
17,Epoxy,A - Excellent,Sulfur Trioxide (dry)
18,Fluorocarbon (FKM),A - Excellent,Sulfur Trioxide (dry)
19,Hastelloy-C®,N/A,Sulfur Trioxide (dry)
20,Hypalon®,D - Poor,Sulfur Trioxide (dry)
21,Hytrel®,N/A,Sulfur Trioxide (dry)
22,Kalrez,A - Excellent,Sulfur Trioxide (dry)
23,Kel-F®,N/A,Sulfur Trioxide (dry)
24,LDPE,N/A,Sulfur Trioxide (dry)
25,Natural rubber,C - Fair,Sulfur Trioxide (dry)
26,Neoprene,D - Poor,Sulfur Trioxide (dry)
27,NORYL®,D - Poor,Sulfur Trioxide (dry)
28,Nylon,D - Poor,Sulfur Trioxide (dry)
29,Polycarbonate,N/A,Sulfur Trioxide (dry)
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfur Trioxide (dry)
31,Polypropylene,C - Fair,Sulfur Trioxide (dry)
32,Polyurethane,D - Poor,Sulfur Trioxide (dry)
33,PPS (Ryton®),N/A,Sulfur Trioxide (dry)
34,PTFE,A - Excellent,Sulfur Trioxide (dry)
35,PVC,A - Excellent,Sulfur Trioxide (dry)
36,PVDF (Kynar®),N/A,Sulfur Trioxide (dry)
37,Silicone,B - Good,Sulfur Trioxide (dry)
38,stainless steel - 304,A - Excellent,Sulfur Trioxide (dry)
39,stainless steel - 316,C - Fair,Sulfur Trioxide (dry)
40,Titanium,N/A,Sulfur Trioxide (dry)
41,Tygon®,A - Excellent,Sulfur Trioxide (dry)
42,Viton®,A - Excellent,Sulfur Trioxide (dry)
