,material,compatibility,chemical
0,,,Sulfur Trioxide
1,ABS plastic,N/A,Sulfur Trioxide
2,Acetal (Delrin®),N/A,Sulfur Trioxide
3,Aluminum,N/A,Sulfur Trioxide
4,Brass,N/A,Sulfur Trioxide
5,Bronze,N/A,Sulfur Trioxide
6,Buna N (Nitrile),B - Good,Sulfur Trioxide
7,Carbon graphite,N/A,Sulfur Trioxide
8,Carbon Steel,N/A,Sulfur Trioxide
9,Carpenter 20,N/A,Sulfur Trioxide
10,Cast iron,N/A,Sulfur Trioxide
11,Ceramic Al203,N/A,Sulfur Trioxide
12,Ceramic magnet,N/A,Sulfur Trioxide
13,ChemRaz (FFKM),B - Good,Sulfur Trioxide
14,Copper,N/A,Sulfur Trioxide
15,CPVC,N/A,Sulfur Trioxide
16,EPDM,B - Good,Sulfur Trioxide
17,Epoxy,N/A,Sulfur Trioxide
18,Fluorocarbon (FKM),D - Poor,Sulfur Trioxide
19,Hastelloy-C®,N/A,Sulfur Trioxide
20,Hypalon®,B - Good,Sulfur Trioxide
21,Hytrel®,N/A,Sulfur Trioxide
22,Kalrez,B - Good,Sulfur Trioxide
23,Kel-F®,N/A,Sulfur Trioxide
24,LDPE,B - Good,Sulfur Trioxide
25,Natural rubber,D - Poor,Sulfur Trioxide
26,Neoprene,A - Excellent,Sulfur Trioxide
27,NORYL®,N/A,Sulfur Trioxide
28,Nylon,B - Good,Sulfur Trioxide
29,Polycarbonate,N/A,Sulfur Trioxide
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfur Trioxide
31,Polypropylene,N/A,Sulfur Trioxide
32,Polyurethane,B - Good,Sulfur Trioxide
33,PPS (Ryton®),N/A,Sulfur Trioxide
34,PTFE,N/A,Sulfur Trioxide
35,PVC,B - Good,Sulfur Trioxide
36,PVDF (Kynar®),N/A,Sulfur Trioxide
37,Silicone,B - Good,Sulfur Trioxide
38,stainless steel - 304,N/A,Sulfur Trioxide
39,stainless steel - 316,N/A,Sulfur Trioxide
40,Titanium,N/A,Sulfur Trioxide
41,Tygon®,N/A,Sulfur Trioxide
42,Viton®,N/A,Sulfur Trioxide
