,material,compatibility,chemical
0,,,Sulfuric Acid (<10%)
1,ABS plastic,N/A,Sulfuric Acid (<10%)
2,Acetal (Delrin®),D - Poor,Sulfuric Acid (<10%)
3,Aluminum,A - Excellent,Sulfuric Acid (<10%)
4,Brass,A - Excellent,Sulfuric Acid (<10%)
5,Bronze,B - Good,Sulfuric Acid (<10%)
6,Buna N (Nitrile),D - Poor,Sulfuric Acid (<10%)
7,Carbon graphite,D - Poor,Sulfuric Acid (<10%)
8,Carbon Steel,A - Excellent,Sulfuric Acid (<10%)
9,Carpenter 20,B - Good,Sulfuric Acid (<10%)
10,Cast iron,A - Excellent,Sulfuric Acid (<10%)
11,Ceramic Al203,N/A,Sulfuric Acid (<10%)
12,Ceramic magnet,N/A,Sulfuric Acid (<10%)
13,ChemRaz (FFKM),B - Good,Sulfuric Acid (<10%)
14,Copper,B - Good,Sulfuric Acid (<10%)
15,CPVC,A - Excellent,Sulfuric Acid (<10%)
16,EPDM,C1 - Fair,Sulfuric Acid (<10%)
17,Epoxy,A - Excellent,Sulfuric Acid (<10%)
18,Fluorocarbon (FKM),A - Excellent,Sulfuric Acid (<10%)
19,Hastelloy-C®,B - Good,Sulfuric Acid (<10%)
20,Hypalon®,N/A,Sulfuric Acid (<10%)
21,Hytrel®,N/A,Sulfuric Acid (<10%)
22,Kalrez,N/A,Sulfuric Acid (<10%)
23,Kel-F®,N/A,Sulfuric Acid (<10%)
24,LDPE,C1 - Fair,Sulfuric Acid (<10%)
25,Natural rubber,N/A,Sulfuric Acid (<10%)
26,Neoprene,D - Poor,Sulfuric Acid (<10%)
27,NORYL®,D - Poor,Sulfuric Acid (<10%)
28,Nylon,A1 - Excellent,Sulfuric Acid (<10%)
29,Polycarbonate,N/A,Sulfuric Acid (<10%)
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfuric Acid (<10%)
31,Polypropylene,D - Poor,Sulfuric Acid (<10%)
32,Polyurethane,B - Good,Sulfuric Acid (<10%)
33,PPS (Ryton®),N/A,Sulfuric Acid (<10%)
34,PTFE,A - Excellent,Sulfuric Acid (<10%)
35,PVC,A1 - Excellent,Sulfuric Acid (<10%)
36,PVDF (Kynar®),C1 - Fair,Sulfuric Acid (<10%)
37,Silicone,B - Good,Sulfuric Acid (<10%)
38,stainless steel - 304,D - Poor,Sulfuric Acid (<10%)
39,stainless steel - 316,A - Excellent,Sulfuric Acid (<10%)
40,Titanium,D - Poor,Sulfuric Acid (<10%)
41,Tygon®,B - Good,Sulfuric Acid (<10%)
42,Viton®,A - Excellent,Sulfuric Acid (<10%)
