,material,compatibility,chemical
0,,,Sulfuric Acid (10-75%)
1,ABS plastic,B - Good,Sulfuric Acid (10-75%)
2,Acetal (Delrin®),D - Poor,Sulfuric Acid (10-75%)
3,Aluminum,D - Poor,Sulfuric Acid (10-75%)
4,Brass,N/A,Sulfuric Acid (10-75%)
5,Bronze,B - Good,Sulfuric Acid (10-75%)
6,Buna N (Nitrile),A1 - Excellent,Sulfuric Acid (10-75%)
7,Carbon graphite,A1 - Excellent,Sulfuric Acid (10-75%)
8,Carbon Steel,D - Poor,Sulfuric Acid (10-75%)
9,Carpenter 20,D - Poor,Sulfuric Acid (10-75%)
10,Cast iron,C - Fair,Sulfuric Acid (10-75%)
11,Ceramic Al203,A - Excellent,Sulfuric Acid (10-75%)
12,Ceramic magnet,N/A,Sulfuric Acid (10-75%)
13,ChemRaz (FFKM),A - Excellent,Sulfuric Acid (10-75%)
14,Copper,N/A,Sulfuric Acid (10-75%)
15,CPVC,A - Excellent,Sulfuric Acid (10-75%)
16,EPDM,A - Excellent,Sulfuric Acid (10-75%)
17,Epoxy,A1 - Excellent,Sulfuric Acid (10-75%)
18,Fluorocarbon (FKM),A - Excellent,Sulfuric Acid (10-75%)
19,Hastelloy-C®,B1 - Good,Sulfuric Acid (10-75%)
20,Hypalon®,A - Excellent,Sulfuric Acid (10-75%)
21,Hytrel®,A - Excellent,Sulfuric Acid (10-75%)
22,Kalrez,A - Excellent,Sulfuric Acid (10-75%)
23,Kel-F®,A - Excellent,Sulfuric Acid (10-75%)
24,LDPE,A1 - Excellent,Sulfuric Acid (10-75%)
25,Natural rubber,A1 - Excellent,Sulfuric Acid (10-75%)
26,Neoprene,B2 - Good,Sulfuric Acid (10-75%)
27,NORYL®,A - Excellent,Sulfuric Acid (10-75%)
28,Nylon,C1 - Fair,Sulfuric Acid (10-75%)
29,Polycarbonate,A1 - Excellent,Sulfuric Acid (10-75%)
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfuric Acid (10-75%)
31,Polypropylene,A2 - Excellent,Sulfuric Acid (10-75%)
32,Polyurethane,D - Poor,Sulfuric Acid (10-75%)
33,PPS (Ryton®),A - Excellent,Sulfuric Acid (10-75%)
34,PTFE,A - Excellent,Sulfuric Acid (10-75%)
35,PVC,A1 - Excellent,Sulfuric Acid (10-75%)
36,PVDF (Kynar®),A - Excellent,Sulfuric Acid (10-75%)
37,Silicone,C - Fair,Sulfuric Acid (10-75%)
38,stainless steel - 304,D - Poor,Sulfuric Acid (10-75%)
39,stainless steel - 316,B - Good,Sulfuric Acid (10-75%)
40,Titanium,D - Poor,Sulfuric Acid (10-75%)
41,Tygon®,B - Good,Sulfuric Acid (10-75%)
42,Viton®,A - Excellent,Sulfuric Acid (10-75%)
