,material,compatibility,chemical
0,,,Sulfuric Acid (cold concentrated)
1,ABS plastic,N/A,Sulfuric Acid (cold concentrated)
2,Acetal (Delrin®),N/A,Sulfuric Acid (cold concentrated)
3,Aluminum,D - Poor,Sulfuric Acid (cold concentrated)
4,Brass,N/A,Sulfuric Acid (cold concentrated)
5,Bronze,B - Good,Sulfuric Acid (cold concentrated)
6,Buna N (Nitrile),C - Fair,Sulfuric Acid (cold concentrated)
7,Carbon graphite,C1 - Fair,Sulfuric Acid (cold concentrated)
8,Carbon Steel,D - Poor,Sulfuric Acid (cold concentrated)
9,Carpenter 20,A2 - Excellent,Sulfuric Acid (cold concentrated)
10,Cast iron,D - Poor,Sulfuric Acid (cold concentrated)
11,Ceramic Al203,A - Excellent,Sulfuric Acid (cold concentrated)
12,Ceramic magnet,A - Excellent,Sulfuric Acid (cold concentrated)
13,ChemRaz (FFKM),A - Excellent,Sulfuric Acid (cold concentrated)
14,Copper,D - Poor,Sulfuric Acid (cold concentrated)
15,CPVC,C - Fair,Sulfuric Acid (cold concentrated)
16,EPDM,B1 - Good,Sulfuric Acid (cold concentrated)
17,Epoxy,C1 - Fair,Sulfuric Acid (cold concentrated)
18,Fluorocarbon (FKM),A - Excellent,Sulfuric Acid (cold concentrated)
19,Hastelloy-C®,B1 - Good,Sulfuric Acid (cold concentrated)
20,Hypalon®,C - Fair,Sulfuric Acid (cold concentrated)
21,Hytrel®,C - Fair,Sulfuric Acid (cold concentrated)
22,Kalrez,A - Excellent,Sulfuric Acid (cold concentrated)
23,Kel-F®,A - Excellent,Sulfuric Acid (cold concentrated)
24,LDPE,B1 - Good,Sulfuric Acid (cold concentrated)
25,Natural rubber,D - Poor,Sulfuric Acid (cold concentrated)
26,Neoprene,D - Poor,Sulfuric Acid (cold concentrated)
27,NORYL®,A - Excellent,Sulfuric Acid (cold concentrated)
28,Nylon,D - Poor,Sulfuric Acid (cold concentrated)
29,Polycarbonate,D - Poor,Sulfuric Acid (cold concentrated)
30,Polyetherether Ketone (PEEK),D - Poor,Sulfuric Acid (cold concentrated)
31,Polypropylene,C1 - Fair,Sulfuric Acid (cold concentrated)
32,Polyurethane,D - Poor,Sulfuric Acid (cold concentrated)
33,PPS (Ryton®),A1 - Excellent,Sulfuric Acid (cold concentrated)
34,PTFE,A - Excellent,Sulfuric Acid (cold concentrated)
35,PVC,D - Poor,Sulfuric Acid (cold concentrated)
36,PVDF (Kynar®),A - Excellent,Sulfuric Acid (cold concentrated)
37,Silicone,D - Poor,Sulfuric Acid (cold concentrated)
38,stainless steel - 304,C - Fair,Sulfuric Acid (cold concentrated)
39,stainless steel - 316,D - Poor,Sulfuric Acid (cold concentrated)
40,Titanium,D - Poor,Sulfuric Acid (cold concentrated)
41,Tygon®,D - Poor,Sulfuric Acid (cold concentrated)
42,Viton®,A1 - Excellent,Sulfuric Acid (cold concentrated)
