,material,compatibility,chemical
0,,,Sulfuric Acid (hot concentrated)
1,ABS plastic,N/A,Sulfuric Acid (hot concentrated)
2,Acetal (Delrin®),N/A,Sulfuric Acid (hot concentrated)
3,Aluminum,B - Good,Sulfuric Acid (hot concentrated)
4,Brass,N/A,Sulfuric Acid (hot concentrated)
5,Bronze,B - Good,Sulfuric Acid (hot concentrated)
6,Buna N (Nitrile),D - Poor,Sulfuric Acid (hot concentrated)
7,Carbon graphite,D - Poor,Sulfuric Acid (hot concentrated)
8,Carbon Steel,D - Poor,Sulfuric Acid (hot concentrated)
9,Carpenter 20,A2 - Excellent,Sulfuric Acid (hot concentrated)
10,Cast iron,D - Poor,Sulfuric Acid (hot concentrated)
11,Ceramic Al203,N/A,Sulfuric Acid (hot concentrated)
12,Ceramic magnet,N/A,Sulfuric Acid (hot concentrated)
13,ChemRaz (FFKM),A - Excellent,Sulfuric Acid (hot concentrated)
14,Copper,N/A,Sulfuric Acid (hot concentrated)
15,CPVC,D - Poor,Sulfuric Acid (hot concentrated)
16,EPDM,C - Fair,Sulfuric Acid (hot concentrated)
17,Epoxy,D - Poor,Sulfuric Acid (hot concentrated)
18,Fluorocarbon (FKM),A - Excellent,Sulfuric Acid (hot concentrated)
19,Hastelloy-C®,A1 - Excellent,Sulfuric Acid (hot concentrated)
20,Hypalon®,C - Fair,Sulfuric Acid (hot concentrated)
21,Hytrel®,B - Good,Sulfuric Acid (hot concentrated)
22,Kalrez,A - Excellent,Sulfuric Acid (hot concentrated)
23,Kel-F®,A - Excellent,Sulfuric Acid (hot concentrated)
24,LDPE,C - Fair,Sulfuric Acid (hot concentrated)
25,Natural rubber,D - Poor,Sulfuric Acid (hot concentrated)
26,Neoprene,D - Poor,Sulfuric Acid (hot concentrated)
27,NORYL®,A - Excellent,Sulfuric Acid (hot concentrated)
28,Nylon,D - Poor,Sulfuric Acid (hot concentrated)
29,Polycarbonate,N/A,Sulfuric Acid (hot concentrated)
30,Polyetherether Ketone (PEEK),D - Poor,Sulfuric Acid (hot concentrated)
31,Polypropylene,A2 - Excellent,Sulfuric Acid (hot concentrated)
32,Polyurethane,D - Poor,Sulfuric Acid (hot concentrated)
33,PPS (Ryton®),A1 - Excellent,Sulfuric Acid (hot concentrated)
34,PTFE,A - Excellent,Sulfuric Acid (hot concentrated)
35,PVC,D - Poor,Sulfuric Acid (hot concentrated)
36,PVDF (Kynar®),A - Excellent,Sulfuric Acid (hot concentrated)
37,Silicone,D - Poor,Sulfuric Acid (hot concentrated)
38,stainless steel - 304,C - Fair,Sulfuric Acid (hot concentrated)
39,stainless steel - 316,B - Good,Sulfuric Acid (hot concentrated)
40,Titanium,D - Poor,Sulfuric Acid (hot concentrated)
41,Tygon®,D - Poor,Sulfuric Acid (hot concentrated)
42,Viton®,B - Good,Sulfuric Acid (hot concentrated)
