,material,compatibility,chemical
0,,,Sulfurous Acid
1,ABS plastic,N/A,Sulfurous Acid
2,Acetal (Delrin®),N/A,Sulfurous Acid
3,Aluminum,D - Poor,Sulfurous Acid
4,Brass,N/A,Sulfurous Acid
5,Bronze,B - Good,Sulfurous Acid
6,Buna N (Nitrile),D - Poor,Sulfurous Acid
7,Carbon graphite,D - Poor,Sulfurous Acid
8,Carbon Steel,D - Poor,Sulfurous Acid
9,Carpenter 20,D - Poor,Sulfurous Acid
10,Cast iron,D - Poor,Sulfurous Acid
11,Ceramic Al203,A - Excellent,Sulfurous Acid
12,Ceramic magnet,N/A,Sulfurous Acid
13,ChemRaz (FFKM),N/A,Sulfurous Acid
14,Copper,N/A,Sulfurous Acid
15,CPVC,D - Poor,Sulfurous Acid
16,EPDM,D - Poor,Sulfurous Acid
17,Epoxy,D - Poor,Sulfurous Acid
18,Fluorocarbon (FKM),D - Poor,Sulfurous Acid
19,Hastelloy-C®,D - Poor,Sulfurous Acid
20,Hypalon®,D - Poor,Sulfurous Acid
21,Hytrel®,N/A,Sulfurous Acid
22,Kalrez,N/A,Sulfurous Acid
23,Kel-F®,A - Excellent,Sulfurous Acid
24,LDPE,D - Poor,Sulfurous Acid
25,Natural rubber,D - Poor,Sulfurous Acid
26,Neoprene,D - Poor,Sulfurous Acid
27,NORYL®,D - Poor,Sulfurous Acid
28,Nylon,D - Poor,Sulfurous Acid
29,Polycarbonate,D - Poor,Sulfurous Acid
30,Polyetherether Ketone (PEEK),D - Poor,Sulfurous Acid
31,Polypropylene,D - Poor,Sulfurous Acid
32,Polyurethane,D - Poor,Sulfurous Acid
33,PPS (Ryton®),D - Poor,Sulfurous Acid
34,PTFE,A - Excellent,Sulfurous Acid
35,PVC,D - Poor,Sulfurous Acid
36,PVDF (Kynar®),C - Fair,Sulfurous Acid
37,Silicone,D - Poor,Sulfurous Acid
38,stainless steel - 304,D - Poor,Sulfurous Acid
39,stainless steel - 316,C - Fair,Sulfurous Acid
40,Titanium,D - Poor,Sulfurous Acid
41,Tygon®,D - Poor,Sulfurous Acid
42,Viton®,A2 - Excellent,Sulfurous Acid
