,material,compatibility,chemical
0,,,Sulfuryl Chloride
1,ABS plastic,N/A,Sulfuryl Chloride
2,Acetal (Delrin®),C - Fair,Sulfuryl Chloride
3,Aluminum,B1 - Good,Sulfuryl Chloride
4,Brass,N/A,Sulfuryl Chloride
5,Bronze,B - Good,Sulfuryl Chloride
6,Buna N (Nitrile),B1 - Good,Sulfuryl Chloride
7,Carbon graphite,A - Excellent,Sulfuryl Chloride
8,Carbon Steel,D - Poor,Sulfuryl Chloride
9,Carpenter 20,D - Poor,Sulfuryl Chloride
10,Cast iron,D - Poor,Sulfuryl Chloride
11,Ceramic Al203,N/A,Sulfuryl Chloride
12,Ceramic magnet,N/A,Sulfuryl Chloride
13,ChemRaz (FFKM),N/A,Sulfuryl Chloride
14,Copper,D - Poor,Sulfuryl Chloride
15,CPVC,A2 - Excellent,Sulfuryl Chloride
16,EPDM,B - Good,Sulfuryl Chloride
17,Epoxy,A - Excellent,Sulfuryl Chloride
18,Fluorocarbon (FKM),A - Excellent,Sulfuryl Chloride
19,Hastelloy-C®,B - Good,Sulfuryl Chloride
20,Hypalon®,A - Excellent,Sulfuryl Chloride
21,Hytrel®,N/A,Sulfuryl Chloride
22,Kalrez,A - Excellent,Sulfuryl Chloride
23,Kel-F®,A - Excellent,Sulfuryl Chloride
24,LDPE,B2 - Good,Sulfuryl Chloride
25,Natural rubber,B - Good,Sulfuryl Chloride
26,Neoprene,C - Fair,Sulfuryl Chloride
27,NORYL®,A - Excellent,Sulfuryl Chloride
28,Nylon,D - Poor,Sulfuryl Chloride
29,Polycarbonate,N/A,Sulfuryl Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Sulfuryl Chloride
31,Polypropylene,A - Excellent,Sulfuryl Chloride
32,Polyurethane,D - Poor,Sulfuryl Chloride
33,PPS (Ryton®),A - Excellent,Sulfuryl Chloride
34,PTFE,A - Excellent,Sulfuryl Chloride
35,PVC,A2 - Excellent,Sulfuryl Chloride
36,PVDF (Kynar®),A - Excellent,Sulfuryl Chloride
37,Silicone,D - Poor,Sulfuryl Chloride
38,stainless steel - 304,B1 - Good,Sulfuryl Chloride
39,stainless steel - 316,B - Good,Sulfuryl Chloride
40,Titanium,A - Excellent,Sulfuryl Chloride
41,Tygon®,B - Good,Sulfuryl Chloride
42,Viton®,A - Excellent,Sulfuryl Chloride
