,material,compatibility,chemical
0,,,Tallow
1,ABS plastic,N/A,Tallow
2,Acetal (Delrin®),A - Excellent,Tallow
3,Aluminum,N/A,Tallow
4,Brass,N/A,Tallow
5,Bronze,N/A,Tallow
6,Buna N (Nitrile),N/A,Tallow
7,Carbon graphite,N/A,Tallow
8,Carbon Steel,N/A,Tallow
9,Carpenter 20,N/A,Tallow
10,Cast iron,N/A,Tallow
11,Ceramic Al203,N/A,Tallow
12,Ceramic magnet,N/A,Tallow
13,ChemRaz (FFKM),N/A,Tallow
14,Copper,N/A,Tallow
15,CPVC,N/A,Tallow
16,EPDM,N/A,Tallow
17,Epoxy,A - Excellent,Tallow
18,Fluorocarbon (FKM),N/A,Tallow
19,Hastelloy-C®,N/A,Tallow
20,Hypalon®,N/A,Tallow
21,Hytrel®,N/A,Tallow
22,Kalrez,N/A,Tallow
23,Kel-F®,N/A,Tallow
24,LDPE,N/A,Tallow
25,Natural rubber,N/A,Tallow
26,Neoprene,N/A,Tallow
27,NORYL®,N/A,Tallow
28,Nylon,N/A,Tallow
29,Polycarbonate,N/A,Tallow
30,Polyetherether Ketone (PEEK),N/A,Tallow
31,Polypropylene,N/A,Tallow
32,Polyurethane,N/A,Tallow
33,PPS (Ryton®),N/A,Tallow
34,PTFE,A - Excellent,Tallow
35,PVC,N/A,Tallow
36,PVDF (Kynar®),N/A,Tallow
37,Silicone,N/A,Tallow
38,stainless steel - 304,N/A,Tallow
39,stainless steel - 316,N/A,Tallow
40,Titanium,N/A,Tallow
41,Tygon®,N/A,Tallow
42,Viton®,N/A,Tallow
