,material,compatibility,chemical
0,,,Tannic Acid
1,ABS plastic,N/A,Tannic Acid
2,Acetal (Delrin®),A - Excellent,Tannic Acid
3,Aluminum,A - Excellent,Tannic Acid
4,Brass,N/A,Tannic Acid
5,Bronze,N/A,Tannic Acid
6,Buna N (Nitrile),A - Excellent,Tannic Acid
7,Carbon graphite,A - Excellent,Tannic Acid
8,Carbon Steel,C - Fair,Tannic Acid
9,Carpenter 20,N/A,Tannic Acid
10,Cast iron,N/A,Tannic Acid
11,Ceramic Al203,N/A,Tannic Acid
12,Ceramic magnet,N/A,Tannic Acid
13,ChemRaz (FFKM),A - Excellent,Tannic Acid
14,Copper,N/A,Tannic Acid
15,CPVC,N/A,Tannic Acid
16,EPDM,A - Excellent,Tannic Acid
17,Epoxy,A - Excellent,Tannic Acid
18,Fluorocarbon (FKM),A - Excellent,Tannic Acid
19,Hastelloy-C®,N/A,Tannic Acid
20,Hypalon®,C - Fair,Tannic Acid
21,Hytrel®,N/A,Tannic Acid
22,Kalrez,A - Excellent,Tannic Acid
23,Kel-F®,N/A,Tannic Acid
24,LDPE,C - Fair,Tannic Acid
25,Natural rubber,N/A,Tannic Acid
26,Neoprene,B - Good,Tannic Acid
27,NORYL®,A - Excellent,Tannic Acid
28,Nylon,A1 - Excellent,Tannic Acid
29,Polycarbonate,N/A,Tannic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Tannic Acid
31,Polypropylene,A2 - Excellent,Tannic Acid
32,Polyurethane,A - Excellent,Tannic Acid
33,PPS (Ryton®),N/A,Tannic Acid
34,PTFE,A - Excellent,Tannic Acid
35,PVC,N/A,Tannic Acid
36,PVDF (Kynar®),N/A,Tannic Acid
37,Silicone,N/A,Tannic Acid
38,stainless steel - 304,A - Excellent,Tannic Acid
39,stainless steel - 316,A - Excellent,Tannic Acid
40,Titanium,N/A,Tannic Acid
41,Tygon®,N/A,Tannic Acid
42,Viton®,A - Excellent,Tannic Acid
