,material,compatibility,chemical
0,,,Tetrachloroethylene
1,ABS plastic,N/A,Tetrachloroethylene
2,Acetal (Delrin®),A - Excellent,Tetrachloroethylene
3,Aluminum,C - Fair,Tetrachloroethylene
4,Brass,N/A,Tetrachloroethylene
5,Bronze,N/A,Tetrachloroethylene
6,Buna N (Nitrile),D - Poor,Tetrachloroethylene
7,Carbon graphite,A - Excellent,Tetrachloroethylene
8,Carbon Steel,B - Good,Tetrachloroethylene
9,Carpenter 20,N/A,Tetrachloroethylene
10,Cast iron,A - Excellent,Tetrachloroethylene
11,Ceramic Al203,N/A,Tetrachloroethylene
12,Ceramic magnet,N/A,Tetrachloroethylene
13,ChemRaz (FFKM),A - Excellent,Tetrachloroethylene
14,Copper,A - Excellent,Tetrachloroethylene
15,CPVC,C - Fair,Tetrachloroethylene
16,EPDM,D - Poor,Tetrachloroethylene
17,Epoxy,A - Excellent,Tetrachloroethylene
18,Fluorocarbon (FKM),A - Excellent,Tetrachloroethylene
19,Hastelloy-C®,A - Excellent,Tetrachloroethylene
20,Hypalon®,D - Poor,Tetrachloroethylene
21,Hytrel®,N/A,Tetrachloroethylene
22,Kalrez,A - Excellent,Tetrachloroethylene
23,Kel-F®,A - Excellent,Tetrachloroethylene
24,LDPE,N/A,Tetrachloroethylene
25,Natural rubber,D - Poor,Tetrachloroethylene
26,Neoprene,D - Poor,Tetrachloroethylene
27,NORYL®,D - Poor,Tetrachloroethylene
28,Nylon,C1 - Fair,Tetrachloroethylene
29,Polycarbonate,N/A,Tetrachloroethylene
30,Polyetherether Ketone (PEEK),N/A,Tetrachloroethylene
31,Polypropylene,C - Fair,Tetrachloroethylene
32,Polyurethane,D - Poor,Tetrachloroethylene
33,PPS (Ryton®),N/A,Tetrachloroethylene
34,PTFE,A - Excellent,Tetrachloroethylene
35,PVC,C - Fair,Tetrachloroethylene
36,PVDF (Kynar®),A - Excellent,Tetrachloroethylene
37,Silicone,D - Poor,Tetrachloroethylene
38,stainless steel - 304,B - Good,Tetrachloroethylene
39,stainless steel - 316,A - Excellent,Tetrachloroethylene
40,Titanium,A - Excellent,Tetrachloroethylene
41,Tygon®,N/A,Tetrachloroethylene
42,Viton®,A - Excellent,Tetrachloroethylene
