,material,compatibility,chemical
0,,,Toluene (Toluol)
1,ABS plastic,N/A,Toluene (Toluol)
2,Acetal (Delrin®),N/A,Toluene (Toluol)
3,Aluminum,D - Poor,Toluene (Toluol)
4,Brass,N/A,Toluene (Toluol)
5,Bronze,N/A,Toluene (Toluol)
6,Buna N (Nitrile),A - Excellent,Toluene (Toluol)
7,Carbon graphite,N/A,Toluene (Toluol)
8,Carbon Steel,N/A,Toluene (Toluol)
9,Carpenter 20,N/A,Toluene (Toluol)
10,Cast iron,N/A,Toluene (Toluol)
11,Ceramic Al203,N/A,Toluene (Toluol)
12,Ceramic magnet,N/A,Toluene (Toluol)
13,ChemRaz (FFKM),N/A,Toluene (Toluol)
14,Copper,N/A,Toluene (Toluol)
15,CPVC,N/A,Toluene (Toluol)
16,EPDM,B - Good,Toluene (Toluol)
17,Epoxy,N/A,Toluene (Toluol)
18,Fluorocarbon (FKM),A - Excellent,Toluene (Toluol)
19,Hastelloy-C®,C - Fair,Toluene (Toluol)
20,Hypalon®,A - Excellent,Toluene (Toluol)
21,Hytrel®,N/A,Toluene (Toluol)
22,Kalrez,N/A,Toluene (Toluol)
23,Kel-F®,N/A,Toluene (Toluol)
24,LDPE,N/A,Toluene (Toluol)
25,Natural rubber,A - Excellent,Toluene (Toluol)
26,Neoprene,N/A,Toluene (Toluol)
27,NORYL®,N/A,Toluene (Toluol)
28,Nylon,N/A,Toluene (Toluol)
29,Polycarbonate,N/A,Toluene (Toluol)
30,Polyetherether Ketone (PEEK),A - Excellent,Toluene (Toluol)
31,Polypropylene,A - Excellent,Toluene (Toluol)
32,Polyurethane,B - Good,Toluene (Toluol)
33,PPS (Ryton®),N/A,Toluene (Toluol)
34,PTFE,A - Excellent,Toluene (Toluol)
35,PVC,A - Excellent,Toluene (Toluol)
36,PVDF (Kynar®),A - Excellent,Toluene (Toluol)
37,Silicone,B - Good,Toluene (Toluol)
38,stainless steel - 304,N/A,Toluene (Toluol)
39,stainless steel - 316,D - Poor,Toluene (Toluol)
40,Titanium,A - Excellent,Toluene (Toluol)
41,Tygon®,A - Excellent,Toluene (Toluol)
42,Viton®,A - Excellent,Toluene (Toluol)
