,material,compatibility,chemical
0,,,Tomato Juice
1,ABS plastic,D - Poor,Tomato Juice
2,Acetal (Delrin®),C1 - Fair,Tomato Juice
3,Aluminum,A - Excellent,Tomato Juice
4,Brass,A - Excellent,Tomato Juice
5,Bronze,A - Excellent,Tomato Juice
6,Buna N (Nitrile),D - Poor,Tomato Juice
7,Carbon graphite,A - Excellent,Tomato Juice
8,Carbon Steel,A - Excellent,Tomato Juice
9,Carpenter 20,A - Excellent,Tomato Juice
10,Cast iron,A - Excellent,Tomato Juice
11,Ceramic Al203,A - Excellent,Tomato Juice
12,Ceramic magnet,A - Excellent,Tomato Juice
13,ChemRaz (FFKM),A - Excellent,Tomato Juice
14,Copper,A - Excellent,Tomato Juice
15,CPVC,D - Poor,Tomato Juice
16,EPDM,D - Poor,Tomato Juice
17,Epoxy,B1 - Good,Tomato Juice
18,Fluorocarbon (FKM),A - Excellent,Tomato Juice
19,Hastelloy-C®,A - Excellent,Tomato Juice
20,Hypalon®,D - Poor,Tomato Juice
21,Hytrel®,B - Good,Tomato Juice
22,Kalrez,A - Excellent,Tomato Juice
23,Kel-F®,B2 - Good,Tomato Juice
24,LDPE,C1 - Fair,Tomato Juice
25,Natural rubber,D - Poor,Tomato Juice
26,Neoprene,D - Poor,Tomato Juice
27,NORYL®,D - Poor,Tomato Juice
28,Nylon,A1 - Excellent,Tomato Juice
29,Polycarbonate,D - Poor,Tomato Juice
30,Polyetherether Ketone (PEEK),A - Excellent,Tomato Juice
31,Polypropylene,C1 - Fair,Tomato Juice
32,Polyurethane,D - Poor,Tomato Juice
33,PPS (Ryton®),A - Excellent,Tomato Juice
34,PTFE,A - Excellent,Tomato Juice
35,PVC,D - Poor,Tomato Juice
36,PVDF (Kynar®),A1 - Excellent,Tomato Juice
37,Silicone,D - Poor,Tomato Juice
38,stainless steel - 304,A - Excellent,Tomato Juice
39,stainless steel - 316,A - Excellent,Tomato Juice
40,Titanium,A - Excellent,Tomato Juice
41,Tygon®,D - Poor,Tomato Juice
42,Viton®,C - Fair,Tomato Juice
