,material,compatibility,chemical
0,,,Trichloroethylene
1,ABS plastic,N/A,Trichloroethylene
2,Acetal (Delrin®),A - Excellent,Trichloroethylene
3,Aluminum,D - Poor,Trichloroethylene
4,Brass,N/A,Trichloroethylene
5,Bronze,A - Excellent,Trichloroethylene
6,Buna N (Nitrile),D - Poor,Trichloroethylene
7,Carbon graphite,A - Excellent,Trichloroethylene
8,Carbon Steel,B - Good,Trichloroethylene
9,Carpenter 20,A - Excellent,Trichloroethylene
10,Cast iron,B - Good,Trichloroethylene
11,Ceramic Al203,N/A,Trichloroethylene
12,Ceramic magnet,N/A,Trichloroethylene
13,ChemRaz (FFKM),A - Excellent,Trichloroethylene
14,Copper,N/A,Trichloroethylene
15,CPVC,N/A,Trichloroethylene
16,EPDM,D - Poor,Trichloroethylene
17,Epoxy,A - Excellent,Trichloroethylene
18,Fluorocarbon (FKM),A - Excellent,Trichloroethylene
19,Hastelloy-C®,A - Excellent,Trichloroethylene
20,Hypalon®,D - Poor,Trichloroethylene
21,Hytrel®,N/A,Trichloroethylene
22,Kalrez,A - Excellent,Trichloroethylene
23,Kel-F®,A - Excellent,Trichloroethylene
24,LDPE,N/A,Trichloroethylene
25,Natural rubber,D - Poor,Trichloroethylene
26,Neoprene,D - Poor,Trichloroethylene
27,NORYL®,D - Poor,Trichloroethylene
28,Nylon,C1 - Fair,Trichloroethylene
29,Polycarbonate,D - Poor,Trichloroethylene
30,Polyetherether Ketone (PEEK),A - Excellent,Trichloroethylene
31,Polypropylene,C - Fair,Trichloroethylene
32,Polyurethane,D - Poor,Trichloroethylene
33,PPS (Ryton®),N/A,Trichloroethylene
34,PTFE,A - Excellent,Trichloroethylene
35,PVC,C - Fair,Trichloroethylene
36,PVDF (Kynar®),A - Excellent,Trichloroethylene
37,Silicone,D - Poor,Trichloroethylene
38,stainless steel - 304,B - Good,Trichloroethylene
39,stainless steel - 316,B - Good,Trichloroethylene
40,Titanium,A - Excellent,Trichloroethylene
41,Tygon®,N/A,Trichloroethylene
42,Viton®,A - Excellent,Trichloroethylene
