,material,compatibility,chemical
0,,,Tricresylphosphate
1,ABS plastic,D - Poor,Tricresylphosphate
2,Acetal (Delrin®),A - Excellent,Tricresylphosphate
3,Aluminum,D - Poor,Tricresylphosphate
4,Brass,N/A,Tricresylphosphate
5,Bronze,A - Excellent,Tricresylphosphate
6,Buna N (Nitrile),D - Poor,Tricresylphosphate
7,Carbon graphite,N/A,Tricresylphosphate
8,Carbon Steel,A - Excellent,Tricresylphosphate
9,Carpenter 20,A - Excellent,Tricresylphosphate
10,Cast iron,A - Excellent,Tricresylphosphate
11,Ceramic Al203,N/A,Tricresylphosphate
12,Ceramic magnet,N/A,Tricresylphosphate
13,ChemRaz (FFKM),A - Excellent,Tricresylphosphate
14,Copper,A - Excellent,Tricresylphosphate
15,CPVC,N/A,Tricresylphosphate
16,EPDM,N/A,Tricresylphosphate
17,Epoxy,A - Excellent,Tricresylphosphate
18,Fluorocarbon (FKM),A - Excellent,Tricresylphosphate
19,Hastelloy-C®,A - Excellent,Tricresylphosphate
20,Hypalon®,N/A,Tricresylphosphate
21,Hytrel®,N/A,Tricresylphosphate
22,Kalrez,A - Excellent,Tricresylphosphate
23,Kel-F®,A - Excellent,Tricresylphosphate
24,LDPE,N/A,Tricresylphosphate
25,Natural rubber,D - Poor,Tricresylphosphate
26,Neoprene,A - Excellent,Tricresylphosphate
27,NORYL®,D - Poor,Tricresylphosphate
28,Nylon,N/A,Tricresylphosphate
29,Polycarbonate,N/A,Tricresylphosphate
30,Polyetherether Ketone (PEEK),N/A,Tricresylphosphate
31,Polypropylene,N/A,Tricresylphosphate
32,Polyurethane,A - Excellent,Tricresylphosphate
33,PPS (Ryton®),N/A,Tricresylphosphate
34,PTFE,A1 - Excellent,Tricresylphosphate
35,PVC,N/A,Tricresylphosphate
36,PVDF (Kynar®),N/A,Tricresylphosphate
37,Silicone,N/A,Tricresylphosphate
38,stainless steel - 304,A - Excellent,Tricresylphosphate
39,stainless steel - 316,A - Excellent,Tricresylphosphate
40,Titanium,N/A,Tricresylphosphate
41,Tygon®,D - Poor,Tricresylphosphate
42,Viton®,A - Excellent,Tricresylphosphate
