,material,compatibility,chemical
0,,,Trisodium Phosphate
1,ABS plastic,N/A,Trisodium Phosphate
2,Acetal (Delrin®),D - Poor,Trisodium Phosphate
3,Aluminum,N/A,Trisodium Phosphate
4,Brass,N/A,Trisodium Phosphate
5,Bronze,N/A,Trisodium Phosphate
6,Buna N (Nitrile),C - Fair,Trisodium Phosphate
7,Carbon graphite,A - Excellent,Trisodium Phosphate
8,Carbon Steel,N/A,Trisodium Phosphate
9,Carpenter 20,A - Excellent,Trisodium Phosphate
10,Cast iron,A - Excellent,Trisodium Phosphate
11,Ceramic Al203,B - Good,Trisodium Phosphate
12,Ceramic magnet,N/A,Trisodium Phosphate
13,ChemRaz (FFKM),A - Excellent,Trisodium Phosphate
14,Copper,A1 - Excellent,Trisodium Phosphate
15,CPVC,A - Excellent,Trisodium Phosphate
16,EPDM,A - Excellent,Trisodium Phosphate
17,Epoxy,A - Excellent,Trisodium Phosphate
18,Fluorocarbon (FKM),A - Excellent,Trisodium Phosphate
19,Hastelloy-C®,N/A,Trisodium Phosphate
20,Hypalon®,N/A,Trisodium Phosphate
21,Hytrel®,N/A,Trisodium Phosphate
22,Kalrez,A - Excellent,Trisodium Phosphate
23,Kel-F®,A - Excellent,Trisodium Phosphate
24,LDPE,N/A,Trisodium Phosphate
25,Natural rubber,B - Good,Trisodium Phosphate
26,Neoprene,A - Excellent,Trisodium Phosphate
27,NORYL®,B - Good,Trisodium Phosphate
28,Nylon,A1 - Excellent,Trisodium Phosphate
29,Polycarbonate,N/A,Trisodium Phosphate
30,Polyetherether Ketone (PEEK),N/A,Trisodium Phosphate
31,Polypropylene,D - Poor,Trisodium Phosphate
32,Polyurethane,D - Poor,Trisodium Phosphate
33,PPS (Ryton®),N/A,Trisodium Phosphate
34,PTFE,A - Excellent,Trisodium Phosphate
35,PVC,B - Good,Trisodium Phosphate
36,PVDF (Kynar®),A2 - Excellent,Trisodium Phosphate
37,Silicone,N/A,Trisodium Phosphate
38,stainless steel - 304,A - Excellent,Trisodium Phosphate
39,stainless steel - 316,A - Excellent,Trisodium Phosphate
40,Titanium,N/A,Trisodium Phosphate
41,Tygon®,A - Excellent,Trisodium Phosphate
42,Viton®,D - Poor,Trisodium Phosphate
