,material,compatibility,chemical
0,,,Urine
1,ABS plastic,N/A,Urine
2,Acetal (Delrin®),N/A,Urine
3,Aluminum,D - Poor,Urine
4,Brass,N/A,Urine
5,Bronze,B - Good,Urine
6,Buna N (Nitrile),N/A,Urine
7,Carbon graphite,A - Excellent,Urine
8,Carbon Steel,N/A,Urine
9,Carpenter 20,N/A,Urine
10,Cast iron,D - Poor,Urine
11,Ceramic Al203,D - Poor,Urine
12,Ceramic magnet,N/A,Urine
13,ChemRaz (FFKM),A - Excellent,Urine
14,Copper,A - Excellent,Urine
15,CPVC,N/A,Urine
16,EPDM,N/A,Urine
17,Epoxy,N/A,Urine
18,Fluorocarbon (FKM),N/A,Urine
19,Hastelloy-C®,B - Good,Urine
20,Hypalon®,N/A,Urine
21,Hytrel®,N/A,Urine
22,Kalrez,A - Excellent,Urine
23,Kel-F®,N/A,Urine
24,LDPE,B - Good,Urine
25,Natural rubber,N/A,Urine
26,Neoprene,A - Excellent,Urine
27,NORYL®,N/A,Urine
28,Nylon,A - Excellent,Urine
29,Polycarbonate,N/A,Urine
30,Polyetherether Ketone (PEEK),N/A,Urine
31,Polypropylene,N/A,Urine
32,Polyurethane,D - Poor,Urine
33,PPS (Ryton®),N/A,Urine
34,PTFE,A - Excellent,Urine
35,PVC,A - Excellent,Urine
36,PVDF (Kynar®),N/A,Urine
37,Silicone,N/A,Urine
38,stainless steel - 304,B - Good,Urine
39,stainless steel - 316,B - Good,Urine
40,Titanium,A - Excellent,Urine
41,Tygon®,A - Excellent,Urine
42,Viton®,N/A,Urine
