,material,compatibility,chemical
0,,,Varnish
1,ABS plastic,N/A,Varnish
2,Acetal (Delrin®),A - Excellent,Varnish
3,Aluminum,B - Good,Varnish
4,Brass,N/A,Varnish
5,Bronze,A - Excellent,Varnish
6,Buna N (Nitrile),A1 - Excellent,Varnish
7,Carbon graphite,A - Excellent,Varnish
8,Carbon Steel,B - Good,Varnish
9,Carpenter 20,C - Fair,Varnish
10,Cast iron,A - Excellent,Varnish
11,Ceramic Al203,N/A,Varnish
12,Ceramic magnet,N/A,Varnish
13,ChemRaz (FFKM),N/A,Varnish
14,Copper,N/A,Varnish
15,CPVC,A - Excellent,Varnish
16,EPDM,A1 - Excellent,Varnish
17,Epoxy,A - Excellent,Varnish
18,Fluorocarbon (FKM),A - Excellent,Varnish
19,Hastelloy-C®,N/A,Varnish
20,Hypalon®,N/A,Varnish
21,Hytrel®,N/A,Varnish
22,Kalrez,N/A,Varnish
23,Kel-F®,N/A,Varnish
24,LDPE,A2 - Excellent,Varnish
25,Natural rubber,D - Poor,Varnish
26,Neoprene,D - Poor,Varnish
27,NORYL®,A2 - Excellent,Varnish
28,Nylon,B - Good,Varnish
29,Polycarbonate,N/A,Varnish
30,Polyetherether Ketone (PEEK),N/A,Varnish
31,Polypropylene,A - Excellent,Varnish
32,Polyurethane,N/A,Varnish
33,PPS (Ryton®),N/A,Varnish
34,PTFE,A1 - Excellent,Varnish
35,PVC,A - Excellent,Varnish
36,PVDF (Kynar®),A - Excellent,Varnish
37,Silicone,N/A,Varnish
38,stainless steel - 304,A - Excellent,Varnish
39,stainless steel - 316,A - Excellent,Varnish
40,Titanium,N/A,Varnish
41,Tygon®,N/A,Varnish
42,Viton®,A1 - Excellent,Varnish
