,material,compatibility,chemical
0,,,Vegetable Juice
1,ABS plastic,N/A,Vegetable Juice
2,Acetal (Delrin®),A - Excellent,Vegetable Juice
3,Aluminum,A - Excellent,Vegetable Juice
4,Brass,A - Excellent,Vegetable Juice
5,Bronze,N/A,Vegetable Juice
6,Buna N (Nitrile),B - Good,Vegetable Juice
7,Carbon graphite,A - Excellent,Vegetable Juice
8,Carbon Steel,C - Fair,Vegetable Juice
9,Carpenter 20,A - Excellent,Vegetable Juice
10,Cast iron,C - Fair,Vegetable Juice
11,Ceramic Al203,N/A,Vegetable Juice
12,Ceramic magnet,N/A,Vegetable Juice
13,ChemRaz (FFKM),A - Excellent,Vegetable Juice
14,Copper,B - Good,Vegetable Juice
15,CPVC,N/A,Vegetable Juice
16,EPDM,D - Poor,Vegetable Juice
17,Epoxy,A - Excellent,Vegetable Juice
18,Fluorocarbon (FKM),A - Excellent,Vegetable Juice
19,Hastelloy-C®,A - Excellent,Vegetable Juice
20,Hypalon®,D - Poor,Vegetable Juice
21,Hytrel®,N/A,Vegetable Juice
22,Kalrez,A - Excellent,Vegetable Juice
23,Kel-F®,A - Excellent,Vegetable Juice
24,LDPE,A - Excellent,Vegetable Juice
25,Natural rubber,D - Poor,Vegetable Juice
26,Neoprene,D - Poor,Vegetable Juice
27,NORYL®,D - Poor,Vegetable Juice
28,Nylon,A - Excellent,Vegetable Juice
29,Polycarbonate,N/A,Vegetable Juice
30,Polyetherether Ketone (PEEK),A - Excellent,Vegetable Juice
31,Polypropylene,A - Excellent,Vegetable Juice
32,Polyurethane,D - Poor,Vegetable Juice
33,PPS (Ryton®),N/A,Vegetable Juice
34,PTFE,A - Excellent,Vegetable Juice
35,PVC,D - Poor,Vegetable Juice
36,PVDF (Kynar®),N/A,Vegetable Juice
37,Silicone,D - Poor,Vegetable Juice
38,stainless steel - 304,A - Excellent,Vegetable Juice
39,stainless steel - 316,A - Excellent,Vegetable Juice
40,Titanium,N/A,Vegetable Juice
41,Tygon®,D - Poor,Vegetable Juice
42,Viton®,A - Excellent,Vegetable Juice
