,material,compatibility,chemical
0,,,Vinyl Acetate
1,ABS plastic,A - Excellent,Vinyl Acetate
2,Acetal (Delrin®),B - Good,Vinyl Acetate
3,Aluminum,D - Poor,Vinyl Acetate
4,Brass,D - Poor,Vinyl Acetate
5,Bronze,A - Excellent,Vinyl Acetate
6,Buna N (Nitrile),B - Good,Vinyl Acetate
7,Carbon graphite,A - Excellent,Vinyl Acetate
8,Carbon Steel,C - Fair,Vinyl Acetate
9,Carpenter 20,C - Fair,Vinyl Acetate
10,Cast iron,D - Poor,Vinyl Acetate
11,Ceramic Al203,A - Excellent,Vinyl Acetate
12,Ceramic magnet,A - Excellent,Vinyl Acetate
13,ChemRaz (FFKM),N/A,Vinyl Acetate
14,Copper,B - Good,Vinyl Acetate
15,CPVC,A - Excellent,Vinyl Acetate
16,EPDM,A - Excellent,Vinyl Acetate
17,Epoxy,A - Excellent,Vinyl Acetate
18,Fluorocarbon (FKM),A - Excellent,Vinyl Acetate
19,Hastelloy-C®,A - Excellent,Vinyl Acetate
20,Hypalon®,A - Excellent,Vinyl Acetate
21,Hytrel®,N/A,Vinyl Acetate
22,Kalrez,A - Excellent,Vinyl Acetate
23,Kel-F®,A - Excellent,Vinyl Acetate
24,LDPE,A - Excellent,Vinyl Acetate
25,Natural rubber,B - Good,Vinyl Acetate
26,Neoprene,B - Good,Vinyl Acetate
27,NORYL®,A1 - Excellent,Vinyl Acetate
28,Nylon,A - Excellent,Vinyl Acetate
29,Polycarbonate,A2 - Excellent,Vinyl Acetate
30,Polyetherether Ketone (PEEK),A - Excellent,Vinyl Acetate
31,Polypropylene,A - Excellent,Vinyl Acetate
32,Polyurethane,D - Poor,Vinyl Acetate
33,PPS (Ryton®),A - Excellent,Vinyl Acetate
34,PTFE,A - Excellent,Vinyl Acetate
35,PVC,B - Good,Vinyl Acetate
36,PVDF (Kynar®),B - Good,Vinyl Acetate
37,Silicone,A - Excellent,Vinyl Acetate
38,stainless steel - 304,A - Excellent,Vinyl Acetate
39,stainless steel - 316,A - Excellent,Vinyl Acetate
40,Titanium,A - Excellent,Vinyl Acetate
41,Tygon®,A1 - Excellent,Vinyl Acetate
42,Viton®,A - Excellent,Vinyl Acetate
