,material,compatibility,chemical
0,,,Vinyl Chloride
1,ABS plastic,N/A,Vinyl Chloride
2,Acetal (Delrin®),N/A,Vinyl Chloride
3,Aluminum,A1 - Excellent,Vinyl Chloride
4,Brass,N/A,Vinyl Chloride
5,Bronze,N/A,Vinyl Chloride
6,Buna N (Nitrile),D - Poor,Vinyl Chloride
7,Carbon graphite,A2 - Excellent,Vinyl Chloride
8,Carbon Steel,C - Fair,Vinyl Chloride
9,Carpenter 20,N/A,Vinyl Chloride
10,Cast iron,B - Good,Vinyl Chloride
11,Ceramic Al203,B - Good,Vinyl Chloride
12,Ceramic magnet,N/A,Vinyl Chloride
13,ChemRaz (FFKM),A - Excellent,Vinyl Chloride
14,Copper,B - Good,Vinyl Chloride
15,CPVC,D - Poor,Vinyl Chloride
16,EPDM,B2 - Good,Vinyl Chloride
17,Epoxy,A1 - Excellent,Vinyl Chloride
18,Fluorocarbon (FKM),A - Excellent,Vinyl Chloride
19,Hastelloy-C®,N/A,Vinyl Chloride
20,Hypalon®,A2 - Excellent,Vinyl Chloride
21,Hytrel®,N/A,Vinyl Chloride
22,Kalrez,A - Excellent,Vinyl Chloride
23,Kel-F®,N/A,Vinyl Chloride
24,LDPE,A - Excellent,Vinyl Chloride
25,Natural rubber,D - Poor,Vinyl Chloride
26,Neoprene,D - Poor,Vinyl Chloride
27,NORYL®,N/A,Vinyl Chloride
28,Nylon,N/A,Vinyl Chloride
29,Polycarbonate,N/A,Vinyl Chloride
30,Polyetherether Ketone (PEEK),N/A,Vinyl Chloride
31,Polypropylene,B1 - Good,Vinyl Chloride
32,Polyurethane,D - Poor,Vinyl Chloride
33,PPS (Ryton®),N/A,Vinyl Chloride
34,PTFE,A2 - Excellent,Vinyl Chloride
35,PVC,D - Poor,Vinyl Chloride
36,PVDF (Kynar®),A2 - Excellent,Vinyl Chloride
37,Silicone,D - Poor,Vinyl Chloride
38,stainless steel - 304,B - Good,Vinyl Chloride
39,stainless steel - 316,B - Good,Vinyl Chloride
40,Titanium,N/A,Vinyl Chloride
41,Tygon®,D - Poor,Vinyl Chloride
42,Viton®,A1 - Excellent,Vinyl Chloride
