,material,compatibility,chemical
0,,,"Water, Acid, Mine"
1,ABS plastic,D - Poor,"Water, Acid, Mine"
2,Acetal (Delrin®),N/A,"Water, Acid, Mine"
3,Aluminum,B1 - Good,"Water, Acid, Mine"
4,Brass,N/A,"Water, Acid, Mine"
5,Bronze,A2 - Excellent,"Water, Acid, Mine"
6,Buna N (Nitrile),D - Poor,"Water, Acid, Mine"
7,Carbon graphite,A2 - Excellent,"Water, Acid, Mine"
8,Carbon Steel,A - Excellent,"Water, Acid, Mine"
9,Carpenter 20,N/A,"Water, Acid, Mine"
10,Cast iron,B - Good,"Water, Acid, Mine"
11,Ceramic Al203,A - Excellent,"Water, Acid, Mine"
12,Ceramic magnet,N/A,"Water, Acid, Mine"
13,ChemRaz (FFKM),A - Excellent,"Water, Acid, Mine"
14,Copper,B - Good,"Water, Acid, Mine"
15,CPVC,D - Poor,"Water, Acid, Mine"
16,EPDM,C - Fair,"Water, Acid, Mine"
17,Epoxy,N/A,"Water, Acid, Mine"
18,Fluorocarbon (FKM),N/A,"Water, Acid, Mine"
19,Hastelloy-C®,A2 - Excellent,"Water, Acid, Mine"
20,Hypalon®,N/A,"Water, Acid, Mine"
21,Hytrel®,N/A,"Water, Acid, Mine"
22,Kalrez,A - Excellent,"Water, Acid, Mine"
23,Kel-F®,N/A,"Water, Acid, Mine"
24,LDPE,N/A,"Water, Acid, Mine"
25,Natural rubber,C - Fair,"Water, Acid, Mine"
26,Neoprene,D - Poor,"Water, Acid, Mine"
27,NORYL®,N/A,"Water, Acid, Mine"
28,Nylon,A1 - Excellent,"Water, Acid, Mine"
29,Polycarbonate,N/A,"Water, Acid, Mine"
30,Polyetherether Ketone (PEEK),A - Excellent,"Water, Acid, Mine"
31,Polypropylene,N/A,"Water, Acid, Mine"
32,Polyurethane,N/A,"Water, Acid, Mine"
33,PPS (Ryton®),N/A,"Water, Acid, Mine"
34,PTFE,A2 - Excellent,"Water, Acid, Mine"
35,PVC,D - Poor,"Water, Acid, Mine"
36,PVDF (Kynar®),B1 - Good,"Water, Acid, Mine"
37,Silicone,N/A,"Water, Acid, Mine"
38,stainless steel - 304,B2 - Good,"Water, Acid, Mine"
39,stainless steel - 316,A1 - Excellent,"Water, Acid, Mine"
40,Titanium,A - Excellent,"Water, Acid, Mine"
41,Tygon®,D - Poor,"Water, Acid, Mine"
42,Viton®,A1 - Excellent,"Water, Acid, Mine"
