,material,compatibility,chemical
0,,,"Water, Deionized"
1,ABS plastic,B - Good,"Water, Deionized"
2,Acetal (Delrin®),A1 - Excellent,"Water, Deionized"
3,Aluminum,D - Poor,"Water, Deionized"
4,Brass,D - Poor,"Water, Deionized"
5,Bronze,A - Excellent,"Water, Deionized"
6,Buna N (Nitrile),A - Excellent,"Water, Deionized"
7,Carbon graphite,A - Excellent,"Water, Deionized"
8,Carbon Steel,D - Poor,"Water, Deionized"
9,Carpenter 20,C - Fair,"Water, Deionized"
10,Cast iron,D - Poor,"Water, Deionized"
11,Ceramic Al203,A - Excellent,"Water, Deionized"
12,Ceramic magnet,N/A,"Water, Deionized"
13,ChemRaz (FFKM),N/A,"Water, Deionized"
14,Copper,D - Poor,"Water, Deionized"
15,CPVC,A - Excellent,"Water, Deionized"
16,EPDM,A - Excellent,"Water, Deionized"
17,Epoxy,A - Excellent,"Water, Deionized"
18,Fluorocarbon (FKM),A - Excellent,"Water, Deionized"
19,Hastelloy-C®,A - Excellent,"Water, Deionized"
20,Hypalon®,N/A,"Water, Deionized"
21,Hytrel®,N/A,"Water, Deionized"
22,Kalrez,N/A,"Water, Deionized"
23,Kel-F®,A - Excellent,"Water, Deionized"
24,LDPE,A2 - Excellent,"Water, Deionized"
25,Natural rubber,B - Good,"Water, Deionized"
26,Neoprene,C - Fair,"Water, Deionized"
27,NORYL®,N/A,"Water, Deionized"
28,Nylon,A - Excellent,"Water, Deionized"
29,Polycarbonate,B2 - Good,"Water, Deionized"
30,Polyetherether Ketone (PEEK),N/A,"Water, Deionized"
31,Polypropylene,A - Excellent,"Water, Deionized"
32,Polyurethane,D - Poor,"Water, Deionized"
33,PPS (Ryton®),A - Excellent,"Water, Deionized"
34,PTFE,A - Excellent,"Water, Deionized"
35,PVC,B - Good,"Water, Deionized"
36,PVDF (Kynar®),A - Excellent,"Water, Deionized"
37,Silicone,B - Good,"Water, Deionized"
38,stainless steel - 304,B - Good,"Water, Deionized"
39,stainless steel - 316,B - Good,"Water, Deionized"
40,Titanium,A - Excellent,"Water, Deionized"
41,Tygon®,N/A,"Water, Deionized"
42,Viton®,A - Excellent,"Water, Deionized"
