,material,compatibility,chemical
0,,,"Water, Distilled"
1,ABS plastic,N/A,"Water, Distilled"
2,Acetal (Delrin®),N/A,"Water, Distilled"
3,Aluminum,A2 - Excellent,"Water, Distilled"
4,Brass,A - Excellent,"Water, Distilled"
5,Bronze,N/A,"Water, Distilled"
6,Buna N (Nitrile),A1 - Excellent,"Water, Distilled"
7,Carbon graphite,A2 - Excellent,"Water, Distilled"
8,Carbon Steel,A - Excellent,"Water, Distilled"
9,Carpenter 20,N/A,"Water, Distilled"
10,Cast iron,D - Poor,"Water, Distilled"
11,Ceramic Al203,B - Good,"Water, Distilled"
12,Ceramic magnet,N/A,"Water, Distilled"
13,ChemRaz (FFKM),D - Poor,"Water, Distilled"
14,Copper,B - Good,"Water, Distilled"
15,CPVC,A - Excellent,"Water, Distilled"
16,EPDM,A1 - Excellent,"Water, Distilled"
17,Epoxy,A2 - Excellent,"Water, Distilled"
18,Fluorocarbon (FKM),A - Excellent,"Water, Distilled"
19,Hastelloy-C®,A2 - Excellent,"Water, Distilled"
20,Hypalon®,A2 - Excellent,"Water, Distilled"
21,Hytrel®,N/A,"Water, Distilled"
22,Kalrez,N/A,"Water, Distilled"
23,Kel-F®,A1 - Excellent,"Water, Distilled"
24,LDPE,N/A,"Water, Distilled"
25,Natural rubber,A - Excellent,"Water, Distilled"
26,Neoprene,A - Excellent,"Water, Distilled"
27,NORYL®,A2 - Excellent,"Water, Distilled"
28,Nylon,A1 - Excellent,"Water, Distilled"
29,Polycarbonate,N/A,"Water, Distilled"
30,Polyetherether Ketone (PEEK),N/A,"Water, Distilled"
31,Polypropylene,A2 - Excellent,"Water, Distilled"
32,Polyurethane,N/A,"Water, Distilled"
33,PPS (Ryton®),A - Excellent,"Water, Distilled"
34,PTFE,A2 - Excellent,"Water, Distilled"
35,PVC,A2 - Excellent,"Water, Distilled"
36,PVDF (Kynar®),A2 - Excellent,"Water, Distilled"
37,Silicone,N/A,"Water, Distilled"
38,stainless steel - 304,A1 - Excellent,"Water, Distilled"
39,stainless steel - 316,A2 - Excellent,"Water, Distilled"
40,Titanium,A2 - Excellent,"Water, Distilled"
41,Tygon®,A2 - Excellent,"Water, Distilled"
42,Viton®,A1 - Excellent,"Water, Distilled"
