,material,compatibility,chemical
0,,,"Water, Fresh"
1,ABS plastic,B - Good,"Water, Fresh"
2,Acetal (Delrin®),B - Good,"Water, Fresh"
3,Aluminum,A - Excellent,"Water, Fresh"
4,Brass,A - Excellent,"Water, Fresh"
5,Bronze,A - Excellent,"Water, Fresh"
6,Buna N (Nitrile),A - Excellent,"Water, Fresh"
7,Carbon graphite,A - Excellent,"Water, Fresh"
8,Carbon Steel,D - Poor,"Water, Fresh"
9,Carpenter 20,D - Poor,"Water, Fresh"
10,Cast iron,D - Poor,"Water, Fresh"
11,Ceramic Al203,N/A,"Water, Fresh"
12,Ceramic magnet,N/A,"Water, Fresh"
13,ChemRaz (FFKM),N/A,"Water, Fresh"
14,Copper,B - Good,"Water, Fresh"
15,CPVC,A - Excellent,"Water, Fresh"
16,EPDM,A - Excellent,"Water, Fresh"
17,Epoxy,A - Excellent,"Water, Fresh"
18,Fluorocarbon (FKM),A - Excellent,"Water, Fresh"
19,Hastelloy-C®,A - Excellent,"Water, Fresh"
20,Hypalon®,N/A,"Water, Fresh"
21,Hytrel®,N/A,"Water, Fresh"
22,Kalrez,N/A,"Water, Fresh"
23,Kel-F®,A - Excellent,"Water, Fresh"
24,LDPE,A2 - Excellent,"Water, Fresh"
25,Natural rubber,A - Excellent,"Water, Fresh"
26,Neoprene,A - Excellent,"Water, Fresh"
27,NORYL®,A - Excellent,"Water, Fresh"
28,Nylon,A1 - Excellent,"Water, Fresh"
29,Polycarbonate,A2 - Excellent,"Water, Fresh"
30,Polyetherether Ketone (PEEK),A - Excellent,"Water, Fresh"
31,Polypropylene,A - Excellent,"Water, Fresh"
32,Polyurethane,A - Excellent,"Water, Fresh"
33,PPS (Ryton®),A - Excellent,"Water, Fresh"
34,PTFE,A - Excellent,"Water, Fresh"
35,PVC,A2 - Excellent,"Water, Fresh"
36,PVDF (Kynar®),A - Excellent,"Water, Fresh"
37,Silicone,C - Fair,"Water, Fresh"
38,stainless steel - 304,A - Excellent,"Water, Fresh"
39,stainless steel - 316,A - Excellent,"Water, Fresh"
40,Titanium,A - Excellent,"Water, Fresh"
41,Tygon®,B - Good,"Water, Fresh"
42,Viton®,A - Excellent,"Water, Fresh"
