,material,compatibility,chemical
0,,,"Water, Salt"
1,ABS plastic,A - Excellent,"Water, Salt"
2,Acetal (Delrin®),A2 - Excellent,"Water, Salt"
3,Aluminum,B - Good,"Water, Salt"
4,Brass,B - Good,"Water, Salt"
5,Bronze,A1 - Excellent,"Water, Salt"
6,Buna N (Nitrile),A - Excellent,"Water, Salt"
7,Carbon graphite,A - Excellent,"Water, Salt"
8,Carbon Steel,D - Poor,"Water, Salt"
9,Carpenter 20,A - Excellent,"Water, Salt"
10,Cast iron,D - Poor,"Water, Salt"
11,Ceramic Al203,A - Excellent,"Water, Salt"
12,Ceramic magnet,N/A,"Water, Salt"
13,ChemRaz (FFKM),B - Good,"Water, Salt"
14,Copper,B - Good,"Water, Salt"
15,CPVC,A - Excellent,"Water, Salt"
16,EPDM,A - Excellent,"Water, Salt"
17,Epoxy,A - Excellent,"Water, Salt"
18,Fluorocarbon (FKM),A - Excellent,"Water, Salt"
19,Hastelloy-C®,A - Excellent,"Water, Salt"
20,Hypalon®,N/A,"Water, Salt"
21,Hytrel®,A - Excellent,"Water, Salt"
22,Kalrez,A - Excellent,"Water, Salt"
23,Kel-F®,A - Excellent,"Water, Salt"
24,LDPE,A2 - Excellent,"Water, Salt"
25,Natural rubber,A - Excellent,"Water, Salt"
26,Neoprene,A - Excellent,"Water, Salt"
27,NORYL®,A - Excellent,"Water, Salt"
28,Nylon,A1 - Excellent,"Water, Salt"
29,Polycarbonate,A2 - Excellent,"Water, Salt"
30,Polyetherether Ketone (PEEK),A - Excellent,"Water, Salt"
31,Polypropylene,A - Excellent,"Water, Salt"
32,Polyurethane,A - Excellent,"Water, Salt"
33,PPS (Ryton®),A - Excellent,"Water, Salt"
34,PTFE,A - Excellent,"Water, Salt"
35,PVC,B - Good,"Water, Salt"
36,PVDF (Kynar®),A - Excellent,"Water, Salt"
37,Silicone,B - Good,"Water, Salt"
38,stainless steel - 304,A - Excellent,"Water, Salt"
39,stainless steel - 316,A - Excellent,"Water, Salt"
40,Titanium,A - Excellent,"Water, Salt"
41,Tygon®,B - Good,"Water, Salt"
42,Viton®,A - Excellent,"Water, Salt"
