,material,compatibility,chemical
0,,,Whey
1,ABS plastic,N/A,Whey
2,Acetal (Delrin®),A - Excellent,Whey
3,Aluminum,D - Poor,Whey
4,Brass,N/A,Whey
5,Bronze,N/A,Whey
6,Buna N (Nitrile),A - Excellent,Whey
7,Carbon graphite,N/A,Whey
8,Carbon Steel,N/A,Whey
9,Carpenter 20,C - Fair,Whey
10,Cast iron,N/A,Whey
11,Ceramic Al203,B - Good,Whey
12,Ceramic magnet,N/A,Whey
13,ChemRaz (FFKM),N/A,Whey
14,Copper,N/A,Whey
15,CPVC,N/A,Whey
16,EPDM,N/A,Whey
17,Epoxy,A - Excellent,Whey
18,Fluorocarbon (FKM),N/A,Whey
19,Hastelloy-C®,N/A,Whey
20,Hypalon®,N/A,Whey
21,Hytrel®,N/A,Whey
22,Kalrez,N/A,Whey
23,Kel-F®,N/A,Whey
24,LDPE,N/A,Whey
25,Natural rubber,N/A,Whey
26,Neoprene,C - Fair,Whey
27,NORYL®,N/A,Whey
28,Nylon,A - Excellent,Whey
29,Polycarbonate,N/A,Whey
30,Polyetherether Ketone (PEEK),N/A,Whey
31,Polypropylene,N/A,Whey
32,Polyurethane,N/A,Whey
33,PPS (Ryton®),N/A,Whey
34,PTFE,N/A,Whey
35,PVC,N/A,Whey
36,PVDF (Kynar®),N/A,Whey
37,Silicone,A - Excellent,Whey
38,stainless steel - 304,A - Excellent,Whey
39,stainless steel - 316,A - Excellent,Whey
40,Titanium,N/A,Whey
41,Tygon®,N/A,Whey
42,Viton®,A - Excellent,Whey
