,material,compatibility,chemical
0,,,Whiskey & Wines
1,ABS plastic,N/A,Whiskey & Wines
2,Acetal (Delrin®),A - Excellent,Whiskey & Wines
3,Aluminum,B - Good,Whiskey & Wines
4,Brass,N/A,Whiskey & Wines
5,Bronze,N/A,Whiskey & Wines
6,Buna N (Nitrile),A - Excellent,Whiskey & Wines
7,Carbon graphite,N/A,Whiskey & Wines
8,Carbon Steel,N/A,Whiskey & Wines
9,Carpenter 20,N/A,Whiskey & Wines
10,Cast iron,N/A,Whiskey & Wines
11,Ceramic Al203,N/A,Whiskey & Wines
12,Ceramic magnet,N/A,Whiskey & Wines
13,ChemRaz (FFKM),N/A,Whiskey & Wines
14,Copper,N/A,Whiskey & Wines
15,CPVC,N/A,Whiskey & Wines
16,EPDM,N/A,Whiskey & Wines
17,Epoxy,A - Excellent,Whiskey & Wines
18,Fluorocarbon (FKM),N/A,Whiskey & Wines
19,Hastelloy-C®,N/A,Whiskey & Wines
20,Hypalon®,N/A,Whiskey & Wines
21,Hytrel®,N/A,Whiskey & Wines
22,Kalrez,N/A,Whiskey & Wines
23,Kel-F®,N/A,Whiskey & Wines
24,LDPE,N/A,Whiskey & Wines
25,Natural rubber,N/A,Whiskey & Wines
26,Neoprene,N/A,Whiskey & Wines
27,NORYL®,N/A,Whiskey & Wines
28,Nylon,N/A,Whiskey & Wines
29,Polycarbonate,N/A,Whiskey & Wines
30,Polyetherether Ketone (PEEK),N/A,Whiskey & Wines
31,Polypropylene,N/A,Whiskey & Wines
32,Polyurethane,N/A,Whiskey & Wines
33,PPS (Ryton®),N/A,Whiskey & Wines
34,PTFE,A - Excellent,Whiskey & Wines
35,PVC,N/A,Whiskey & Wines
36,PVDF (Kynar®),N/A,Whiskey & Wines
37,Silicone,N/A,Whiskey & Wines
38,stainless steel - 304,A - Excellent,Whiskey & Wines
39,stainless steel - 316,A - Excellent,Whiskey & Wines
40,Titanium,N/A,Whiskey & Wines
41,Tygon®,N/A,Whiskey & Wines
42,Viton®,A - Excellent,Whiskey & Wines
