,material,compatibility,chemical
0,,,White Liquor (Pulp Mill)
1,ABS plastic,C - Fair,White Liquor (Pulp Mill)
2,Acetal (Delrin®),A - Excellent,White Liquor (Pulp Mill)
3,Aluminum,C1 - Fair,White Liquor (Pulp Mill)
4,Brass,B - Good,White Liquor (Pulp Mill)
5,Bronze,A - Excellent,White Liquor (Pulp Mill)
6,Buna N (Nitrile),A - Excellent,White Liquor (Pulp Mill)
7,Carbon graphite,A - Excellent,White Liquor (Pulp Mill)
8,Carbon Steel,D - Poor,White Liquor (Pulp Mill)
9,Carpenter 20,C - Fair,White Liquor (Pulp Mill)
10,Cast iron,D - Poor,White Liquor (Pulp Mill)
11,Ceramic Al203,A - Excellent,White Liquor (Pulp Mill)
12,Ceramic magnet,A - Excellent,White Liquor (Pulp Mill)
13,ChemRaz (FFKM),B - Good,White Liquor (Pulp Mill)
14,Copper,B - Good,White Liquor (Pulp Mill)
15,CPVC,A2 - Excellent,White Liquor (Pulp Mill)
16,EPDM,A - Excellent,White Liquor (Pulp Mill)
17,Epoxy,B - Good,White Liquor (Pulp Mill)
18,Fluorocarbon (FKM),A - Excellent,White Liquor (Pulp Mill)
19,Hastelloy-C®,N/A,White Liquor (Pulp Mill)
20,Hypalon®,A - Excellent,White Liquor (Pulp Mill)
21,Hytrel®,N/A,White Liquor (Pulp Mill)
22,Kalrez,N/A,White Liquor (Pulp Mill)
23,Kel-F®,A - Excellent,White Liquor (Pulp Mill)
24,LDPE,C - Fair,White Liquor (Pulp Mill)
25,Natural rubber,A - Excellent,White Liquor (Pulp Mill)
26,Neoprene,C - Fair,White Liquor (Pulp Mill)
27,NORYL®,A2 - Excellent,White Liquor (Pulp Mill)
28,Nylon,A1 - Excellent,White Liquor (Pulp Mill)
29,Polycarbonate,A1 - Excellent,White Liquor (Pulp Mill)
30,Polyetherether Ketone (PEEK),A - Excellent,White Liquor (Pulp Mill)
31,Polypropylene,A - Excellent,White Liquor (Pulp Mill)
32,Polyurethane,D - Poor,White Liquor (Pulp Mill)
33,PPS (Ryton®),N/A,White Liquor (Pulp Mill)
34,PTFE,A - Excellent,White Liquor (Pulp Mill)
35,PVC,A2 - Excellent,White Liquor (Pulp Mill)
36,PVDF (Kynar®),A - Excellent,White Liquor (Pulp Mill)
37,Silicone,A - Excellent,White Liquor (Pulp Mill)
38,stainless steel - 304,A - Excellent,White Liquor (Pulp Mill)
39,stainless steel - 316,A - Excellent,White Liquor (Pulp Mill)
40,Titanium,A - Excellent,White Liquor (Pulp Mill)
41,Tygon®,C - Fair,White Liquor (Pulp Mill)
42,Viton®,A - Excellent,White Liquor (Pulp Mill)
