,material,compatibility,chemical
0,,,White Water (Paper Mill)
1,ABS plastic,N/A,White Water (Paper Mill)
2,Acetal (Delrin®),D - Poor,White Water (Paper Mill)
3,Aluminum,B - Good,White Water (Paper Mill)
4,Brass,B - Good,White Water (Paper Mill)
5,Bronze,A - Excellent,White Water (Paper Mill)
6,Buna N (Nitrile),A - Excellent,White Water (Paper Mill)
7,Carbon graphite,A - Excellent,White Water (Paper Mill)
8,Carbon Steel,C - Fair,White Water (Paper Mill)
9,Carpenter 20,D - Poor,White Water (Paper Mill)
10,Cast iron,C - Fair,White Water (Paper Mill)
11,Ceramic Al203,N/A,White Water (Paper Mill)
12,Ceramic magnet,N/A,White Water (Paper Mill)
13,ChemRaz (FFKM),D - Poor,White Water (Paper Mill)
14,Copper,N/A,White Water (Paper Mill)
15,CPVC,A - Excellent,White Water (Paper Mill)
16,EPDM,N/A,White Water (Paper Mill)
17,Epoxy,A - Excellent,White Water (Paper Mill)
18,Fluorocarbon (FKM),A - Excellent,White Water (Paper Mill)
19,Hastelloy-C®,A - Excellent,White Water (Paper Mill)
20,Hypalon®,N/A,White Water (Paper Mill)
21,Hytrel®,N/A,White Water (Paper Mill)
22,Kalrez,N/A,White Water (Paper Mill)
23,Kel-F®,N/A,White Water (Paper Mill)
24,LDPE,A2 - Excellent,White Water (Paper Mill)
25,Natural rubber,N/A,White Water (Paper Mill)
26,Neoprene,A - Excellent,White Water (Paper Mill)
27,NORYL®,A1 - Excellent,White Water (Paper Mill)
28,Nylon,A1 - Excellent,White Water (Paper Mill)
29,Polycarbonate,N/A,White Water (Paper Mill)
30,Polyetherether Ketone (PEEK),N/A,White Water (Paper Mill)
31,Polypropylene,A1 - Excellent,White Water (Paper Mill)
32,Polyurethane,D - Poor,White Water (Paper Mill)
33,PPS (Ryton®),N/A,White Water (Paper Mill)
34,PTFE,A - Excellent,White Water (Paper Mill)
35,PVC,A2 - Excellent,White Water (Paper Mill)
36,PVDF (Kynar®),A1 - Excellent,White Water (Paper Mill)
37,Silicone,A - Excellent,White Water (Paper Mill)
38,stainless steel - 304,A - Excellent,White Water (Paper Mill)
39,stainless steel - 316,A - Excellent,White Water (Paper Mill)
40,Titanium,N/A,White Water (Paper Mill)
41,Tygon®,N/A,White Water (Paper Mill)
42,Viton®,A - Excellent,White Water (Paper Mill)
