,material,compatibility,chemical
0,,,Zinc Chloride
1,ABS plastic,D - Poor,Zinc Chloride
2,Acetal (Delrin®),A - Excellent,Zinc Chloride
3,Aluminum,A1 - Excellent,Zinc Chloride
4,Brass,A - Excellent,Zinc Chloride
5,Bronze,A - Excellent,Zinc Chloride
6,Buna N (Nitrile),D - Poor,Zinc Chloride
7,Carbon graphite,A - Excellent,Zinc Chloride
8,Carbon Steel,A - Excellent,Zinc Chloride
9,Carpenter 20,A - Excellent,Zinc Chloride
10,Cast iron,B - Good,Zinc Chloride
11,Ceramic Al203,A - Excellent,Zinc Chloride
12,Ceramic magnet,N/A,Zinc Chloride
13,ChemRaz (FFKM),A - Excellent,Zinc Chloride
14,Copper,A - Excellent,Zinc Chloride
15,CPVC,D - Poor,Zinc Chloride
16,EPDM,D - Poor,Zinc Chloride
17,Epoxy,A - Excellent,Zinc Chloride
18,Fluorocarbon (FKM),A - Excellent,Zinc Chloride
19,Hastelloy-C®,A - Excellent,Zinc Chloride
20,Hypalon®,D - Poor,Zinc Chloride
21,Hytrel®,B - Good,Zinc Chloride
22,Kalrez,A - Excellent,Zinc Chloride
23,Kel-F®,A - Excellent,Zinc Chloride
24,LDPE,B - Good,Zinc Chloride
25,Natural rubber,D - Poor,Zinc Chloride
26,Neoprene,D - Poor,Zinc Chloride
27,NORYL®,B - Good,Zinc Chloride
28,Nylon,A2 - Excellent,Zinc Chloride
29,Polycarbonate,D - Poor,Zinc Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Zinc Chloride
31,Polypropylene,B - Good,Zinc Chloride
32,Polyurethane,D - Poor,Zinc Chloride
33,PPS (Ryton®),A - Excellent,Zinc Chloride
34,PTFE,A - Excellent,Zinc Chloride
35,PVC,D - Poor,Zinc Chloride
36,PVDF (Kynar®),A - Excellent,Zinc Chloride
37,Silicone,D - Poor,Zinc Chloride
38,stainless steel - 304,B - Good,Zinc Chloride
39,stainless steel - 316,B - Good,Zinc Chloride
40,Titanium,A - Excellent,Zinc Chloride
41,Tygon®,D - Poor,Zinc Chloride
42,Viton®,B - Good,Zinc Chloride
